Filing Date,Ticker,Company Name,Trade Type,days_since_prev,days_until_next,overlap_0_1,overlap_0_5,overlap_0_10,overlap_0_20,overlap_m20_m1,overlap_m20_p20,company_date
2025-01-08,ADP,Automatic Data Processing Inc,S - Sale+OE,1.0,6.0,False,False,True,True,True,True,ADP_2025-01-08
2025-01-14,ADP,Automatic Data Processing Inc,S - Sale+OE,6.0,1.0,True,True,True,True,True,True,ADP_2025-01-14
2025-01-15,ADP,Automatic Data Processing Inc,S - Sale+OE,1.0,20.0,False,False,False,True,True,True,ADP_2025-01-15
2025-02-04,ADP,Automatic Data Processing Inc,S - Sale+OE,20.0,8.0,False,False,True,True,True,True,ADP_2025-02-04
2025-02-12,ADP,Automatic Data Processing Inc,S - Sale+OE,8.0,28.0,False,False,False,False,True,True,ADP_2025-02-12
2025-03-12,ADP,Automatic Data Processing Inc,S - Sale+OE,28.0,33.0,False,False,False,False,False,False,ADP_2025-03-12
2025-04-14,ADP,Automatic Data Processing Inc,S - Sale+OE,33.0,30.0,False,False,False,False,False,False,ADP_2025-04-14
2025-05-14,ADP,Automatic Data Processing Inc,S - Sale+OE,30.0,,False,False,False,False,False,False,ADP_2025-05-14
2025-04-07,AMAT,Applied Materials Inc /De,P - Purchase,,,False,False,False,False,False,False,AMAT_2025-04-07
2025-02-25,AMAT,Applied Materials Inc /de,S - Sale,,37.0,False,False,False,False,False,False,AMAT_2025-02-25
2025-04-03,AMAT,Applied Materials Inc /De,S - Sale,37.0,,False,False,False,False,False,False,AMAT_2025-04-03
2024-11-05,AMZN,Amazon Com Inc,S - Sale,,1.0,True,True,True,True,False,True,AMZN_2024-11-05
2024-11-06,AMZN,Amazon Com Inc,S - Sale,1.0,2.0,False,True,True,True,True,True,AMZN_2024-11-06
2024-11-08,AMZN,Amazon Com Inc,S - Sale,2.0,4.0,False,True,True,True,True,True,AMZN_2024-11-08
2024-11-12,AMZN,Amazon Com Inc,S - Sale,4.0,2.0,False,True,True,True,True,True,AMZN_2024-11-12
2024-11-14,AMZN,Amazon Com Inc,S - Sale,2.0,11.0,False,False,False,True,True,True,AMZN_2024-11-14
2024-11-25,AMZN,Amazon Com Inc,S - Sale,11.0,9.0,False,False,True,True,True,True,AMZN_2024-11-25
2024-12-04,AMZN,Amazon Com Inc,S - Sale,9.0,2.0,False,True,True,True,True,True,AMZN_2024-12-04
2024-12-06,AMZN,Amazon Com Inc,S - Sale,2.0,5.0,False,True,True,True,True,True,AMZN_2024-12-06
2024-12-11,AMZN,Amazon Com Inc,S - Sale,5.0,65.0,False,False,False,False,True,True,AMZN_2024-12-11
2025-02-14,AMZN,Amazon Com Inc,S - Sale,65.0,11.0,False,False,False,True,False,True,AMZN_2025-02-14
2025-02-25,AMZN,Amazon Com Inc,S - Sale,11.0,8.0,False,False,True,True,True,True,AMZN_2025-02-25
2025-03-05,AMZN,Amazon Com Inc,S - Sale,8.0,29.0,False,False,False,False,True,True,AMZN_2025-03-05
2025-04-03,AMZN,Amazon Com Inc,S - Sale,29.0,32.0,False,False,False,False,False,False,AMZN_2025-04-03
2025-05-05,AMZN,Amazon Com Inc,S - Sale,32.0,9.0,False,False,True,True,False,True,AMZN_2025-05-05
2025-05-14,AMZN,Amazon Com Inc,S - Sale,9.0,,False,False,False,False,True,True,AMZN_2025-05-14
2024-11-19,AMZN,Amazon Com Inc,S - Sale+OE,,6.0,False,False,True,True,False,True,AMZN_2024-11-19
2024-11-25,AMZN,Amazon Com Inc,S - Sale+OE,6.0,86.0,False,False,False,False,True,True,AMZN_2024-11-25
2025-02-19,AMZN,Amazon Com Inc,S - Sale+OE,86.0,6.0,False,False,True,True,False,True,AMZN_2025-02-19
2025-02-25,AMZN,Amazon Com Inc,S - Sale+OE,6.0,83.0,False,False,False,False,True,True,AMZN_2025-02-25
2025-05-19,AMZN,Amazon Com Inc,S - Sale+OE,83.0,4.0,False,True,True,True,False,True,AMZN_2025-05-19
2025-05-23,AMZN,Amazon Com Inc,S - Sale+OE,4.0,,False,False,False,False,True,True,AMZN_2025-05-23
2024-11-05,ANET,"Arista Networks, Inc.",S - Sale,,3.0,False,True,True,True,False,True,ANET_2024-11-05
2024-11-08,ANET,"Arista Networks, Inc.",S - Sale,3.0,17.0,False,False,False,True,True,True,ANET_2024-11-08
2024-11-25,ANET,"Arista Networks, Inc.",S - Sale,17.0,9.0,False,False,True,True,True,True,ANET_2024-11-25
2024-12-04,ANET,"Arista Networks, Inc.",S - Sale,9.0,7.0,False,False,True,True,True,True,ANET_2024-12-04
2024-12-11,ANET,"Arista Networks, Inc.",S - Sale,7.0,26.0,False,False,False,False,True,True,ANET_2024-12-11
2025-01-06,ANET,"Arista Networks, Inc.",S - Sale,26.0,17.0,False,False,False,True,False,True,ANET_2025-01-06
2025-01-23,ANET,"Arista Networks, Inc.",S - Sale,17.0,13.0,False,False,False,True,True,True,ANET_2025-01-23
2025-02-05,ANET,"Arista Networks, Inc.",S - Sale,13.0,13.0,False,False,False,True,True,True,ANET_2025-02-05
2025-02-18,ANET,"Arista Networks, Inc.",S - Sale,13.0,3.0,False,True,True,True,True,True,ANET_2025-02-18
2025-02-21,ANET,"Arista Networks, Inc.",S - Sale,3.0,4.0,False,True,True,True,True,True,ANET_2025-02-21
2025-02-25,ANET,"Arista Networks, Inc.",S - Sale,4.0,1.0,True,True,True,True,True,True,ANET_2025-02-25
2025-02-26,ANET,"Arista Networks, Inc.",S - Sale,1.0,2.0,False,True,True,True,True,True,ANET_2025-02-26
2025-02-28,ANET,"Arista Networks, Inc.",S - Sale,2.0,5.0,False,True,True,True,True,True,ANET_2025-02-28
2025-03-05,ANET,"Arista Networks, Inc.",S - Sale,5.0,29.0,False,False,False,False,True,True,ANET_2025-03-05
2025-04-03,ANET,"Arista Networks, Inc.",S - Sale,29.0,6.0,False,False,True,True,False,True,ANET_2025-04-03
2025-04-09,ANET,"Arista Networks, Inc.",S - Sale,6.0,15.0,False,False,False,True,True,True,ANET_2025-04-09
2025-04-24,ANET,"Arista Networks, Inc.",S - Sale,15.0,11.0,False,False,False,True,True,True,ANET_2025-04-24
2025-05-05,ANET,"Arista Networks, Inc.",S - Sale,11.0,18.0,False,False,False,True,True,True,ANET_2025-05-05
2025-05-23,ANET,"Arista Networks, Inc.",S - Sale,18.0,,False,False,False,False,True,True,ANET_2025-05-23
2024-11-05,ANET,"Arista Networks, Inc.",S - Sale+OE,,1.0,True,True,True,True,False,True,ANET_2024-11-05
2024-11-06,ANET,"Arista Networks, Inc.",S - Sale+OE,1.0,34.0,False,False,False,False,True,True,ANET_2024-11-06
2024-12-10,ANET,"Arista Networks, Inc.",S - Sale+OE,34.0,29.0,False,False,False,False,False,False,ANET_2024-12-10
2025-01-08,ANET,"Arista Networks, Inc.",S - Sale+OE,29.0,33.0,False,False,False,False,False,False,ANET_2025-01-08
2025-02-10,ANET,"Arista Networks, Inc.",S - Sale+OE,33.0,28.0,False,False,False,False,False,False,ANET_2025-02-10
2025-03-10,ANET,"Arista Networks, Inc.",S - Sale+OE,28.0,30.0,False,False,False,False,False,False,ANET_2025-03-10
2025-04-09,ANET,"Arista Networks, Inc.",S - Sale+OE,30.0,29.0,False,False,False,False,False,False,ANET_2025-04-09
2025-05-08,ANET,"Arista Networks, Inc.",S - Sale+OE,29.0,,False,False,False,False,False,False,ANET_2025-05-08
2024-11-14,APP,Applovin Corp,S - Sale,,8.0,False,False,True,True,False,True,APP_2024-11-14
2024-11-22,APP,Applovin Corp,S - Sale,8.0,4.0,False,True,True,True,True,True,APP_2024-11-22
2024-11-26,APP,Applovin Corp,S - Sale,4.0,3.0,False,True,True,True,True,True,APP_2024-11-26
2024-11-29,APP,Applovin Corp,S - Sale,3.0,3.0,False,True,True,True,True,True,APP_2024-11-29
2024-12-02,APP,Applovin Corp,S - Sale,3.0,1.0,True,True,True,True,True,True,APP_2024-12-02
2024-12-03,APP,Applovin Corp,S - Sale,1.0,2.0,False,True,True,True,True,True,APP_2024-12-03
2024-12-05,APP,Applovin Corp,S - Sale,2.0,5.0,False,True,True,True,True,True,APP_2024-12-05
2024-12-10,APP,Applovin Corp,S - Sale,5.0,1.0,True,True,True,True,True,True,APP_2024-12-10
2024-12-11,APP,Applovin Corp,S - Sale,1.0,1.0,True,True,True,True,True,True,APP_2024-12-11
2024-12-12,APP,Applovin Corp,S - Sale,1.0,11.0,False,False,False,True,True,True,APP_2024-12-12
2024-12-23,APP,Applovin Corp,S - Sale,11.0,63.0,False,False,False,False,True,True,APP_2024-12-23
2025-02-24,APP,Applovin Corp,S - Sale,63.0,16.0,False,False,False,True,False,True,APP_2025-02-24
2025-03-12,APP,Applovin Corp,S - Sale,16.0,64.0,False,False,False,False,True,True,APP_2025-03-12
2025-05-15,APP,Applovin Corp,S - Sale,64.0,6.0,False,False,True,True,False,True,APP_2025-05-15
2025-05-21,APP,Applovin Corp,S - Sale,6.0,1.0,True,True,True,True,True,True,APP_2025-05-21
2025-05-22,APP,Applovin Corp,S - Sale,1.0,6.0,False,False,True,True,True,True,APP_2025-05-22
2025-05-28,APP,Applovin Corp,S - Sale,6.0,,False,False,False,False,True,True,APP_2025-05-28
2024-11-22,APP,Applovin Corp,S - Sale+OE,,3.0,False,True,True,True,False,True,APP_2024-11-22
2024-11-25,APP,Applovin Corp,S - Sale+OE,3.0,15.0,False,False,False,True,True,True,APP_2024-11-25
2024-12-10,APP,Applovin Corp,S - Sale+OE,15.0,2.0,False,True,True,True,True,True,APP_2024-12-10
2024-12-12,APP,Applovin Corp,S - Sale+OE,2.0,82.0,False,False,False,False,True,True,APP_2024-12-12
2025-03-04,APP,Applovin Corp,S - Sale+OE,82.0,71.0,False,False,False,False,False,False,APP_2025-03-04
2025-05-14,APP,Applovin Corp,S - Sale+OE,71.0,1.0,True,True,True,True,False,True,APP_2025-05-14
2025-05-15,APP,Applovin Corp,S - Sale+OE,1.0,7.0,False,False,True,True,True,True,APP_2025-05-15
2025-05-22,APP,Applovin Corp,S - Sale+OE,7.0,,False,False,False,False,True,True,APP_2025-05-22
2024-12-19,AVGO,Broadcom Inc.,S - Sale,,7.0,False,False,True,True,False,True,AVGO_2024-12-19
2024-12-26,AVGO,Broadcom Inc.,S - Sale,7.0,1.0,True,True,True,True,True,True,AVGO_2024-12-26
2024-12-27,AVGO,Broadcom Inc.,S - Sale,1.0,10.0,False,False,True,True,True,True,AVGO_2024-12-27
2025-01-06,AVGO,Broadcom Inc.,S - Sale,10.0,2.0,False,True,True,True,True,True,AVGO_2025-01-06
2025-01-08,AVGO,Broadcom Inc.,S - Sale,2.0,2.0,False,True,True,True,True,True,AVGO_2025-01-08
2025-01-10,AVGO,Broadcom Inc.,S - Sale,2.0,75.0,False,False,False,False,True,True,AVGO_2025-01-10
2025-03-26,AVGO,Broadcom Inc.,S - Sale,75.0,2.0,False,True,True,True,False,True,AVGO_2025-03-26
2025-03-28,AVGO,Broadcom Inc.,S - Sale,2.0,18.0,False,False,False,True,True,True,AVGO_2025-03-28
2025-04-15,AVGO,Broadcom Inc.,S - Sale,18.0,1.0,True,True,True,True,True,True,AVGO_2025-04-15
2025-04-16,AVGO,Broadcom Inc.,S - Sale,1.0,30.0,False,False,False,False,True,True,AVGO_2025-04-16
2025-05-16,AVGO,Broadcom Inc.,S - Sale,30.0,,False,False,False,False,False,False,AVGO_2025-05-16
2025-03-03,CRM,"Salesforce, Inc.",P - Purchase,,32.0,False,False,False,False,False,False,CRM_2025-03-03
2025-04-04,CRM,"Salesforce, Inc.",P - Purchase,32.0,,False,False,False,False,False,False,CRM_2025-04-04
2024-11-04,CRM,"Salesforce, Inc.",S - Sale,,22.0,False,False,False,False,False,False,CRM_2024-11-04
2024-11-26,CRM,"Salesforce, Inc.",S - Sale,22.0,24.0,False,False,False,False,False,False,CRM_2024-11-26
2024-12-20,CRM,"Salesforce, Inc.",S - Sale,24.0,6.0,False,False,True,True,False,True,CRM_2024-12-20
2024-12-26,CRM,"Salesforce, Inc.",S - Sale,6.0,1.0,True,True,True,True,True,True,CRM_2024-12-26
2024-12-27,CRM,"Salesforce, Inc.",S - Sale,1.0,39.0,False,False,False,False,True,True,CRM_2024-12-27
2025-02-04,CRM,"Salesforce, Inc.",S - Sale,39.0,22.0,False,False,False,False,False,False,CRM_2025-02-04
2025-02-26,CRM,"Salesforce, Inc.",S - Sale,22.0,29.0,False,False,False,False,False,False,CRM_2025-02-26
2025-03-27,CRM,"Salesforce, Inc.",S - Sale,29.0,21.0,False,False,False,False,False,False,CRM_2025-03-27
2025-04-17,CRM,"Salesforce, Inc.",S - Sale,21.0,18.0,False,False,False,True,False,True,CRM_2025-04-17
2025-05-05,CRM,"Salesforce, Inc.",S - Sale,18.0,23.0,False,False,False,False,True,True,CRM_2025-05-05
2025-05-28,CRM,"Salesforce, Inc.",S - Sale,23.0,,False,False,False,False,False,False,CRM_2025-05-28
2024-11-06,CRM,"Salesforce, Inc.",S - Sale+OE,,16.0,False,False,False,True,False,True,CRM_2024-11-06
2024-11-22,CRM,"Salesforce, Inc.",S - Sale+OE,16.0,3.0,False,True,True,True,True,True,CRM_2024-11-22
2024-11-25,CRM,"Salesforce, Inc.",S - Sale+OE,3.0,25.0,False,False,False,False,True,True,CRM_2024-11-25
2024-12-20,CRM,"Salesforce, Inc.",S - Sale+OE,25.0,3.0,False,True,True,True,False,True,CRM_2024-12-20
2024-12-23,CRM,"Salesforce, Inc.",S - Sale+OE,3.0,3.0,False,True,True,True,True,True,CRM_2024-12-23
2024-12-26,CRM,"Salesforce, Inc.",S - Sale+OE,3.0,8.0,False,False,True,True,True,True,CRM_2024-12-26
2025-01-03,CRM,"Salesforce, Inc.",S - Sale+OE,8.0,13.0,False,False,False,True,True,True,CRM_2025-01-03
2025-01-16,CRM,"Salesforce, Inc.",S - Sale+OE,13.0,7.0,False,False,True,True,True,True,CRM_2025-01-16
2025-01-23,CRM,"Salesforce, Inc.",S - Sale+OE,7.0,12.0,False,False,False,True,True,True,CRM_2025-01-23
2025-02-04,CRM,"Salesforce, Inc.",S - Sale+OE,12.0,15.0,False,False,False,True,True,True,CRM_2025-02-04
2025-02-19,CRM,"Salesforce, Inc.",S - Sale+OE,15.0,5.0,False,True,True,True,True,True,CRM_2025-02-19
2025-02-24,CRM,"Salesforce, Inc.",S - Sale+OE,5.0,1.0,True,True,True,True,True,True,CRM_2025-02-24
2025-02-25,CRM,"Salesforce, Inc.",S - Sale+OE,1.0,7.0,False,False,True,True,True,True,CRM_2025-02-25
2025-03-04,CRM,"Salesforce, Inc.",S - Sale+OE,7.0,14.0,False,False,False,True,True,True,CRM_2025-03-04
2025-03-18,CRM,"Salesforce, Inc.",S - Sale+OE,14.0,7.0,False,False,True,True,True,True,CRM_2025-03-18
2025-03-25,CRM,"Salesforce, Inc.",S - Sale+OE,7.0,30.0,False,False,False,False,True,True,CRM_2025-03-25
2025-04-24,CRM,"Salesforce, Inc.",S - Sale+OE,30.0,21.0,False,False,False,False,False,False,CRM_2025-04-24
2025-05-15,CRM,"Salesforce, Inc.",S - Sale+OE,21.0,8.0,False,False,True,True,False,True,CRM_2025-05-15
2025-05-23,CRM,"Salesforce, Inc.",S - Sale+OE,8.0,,False,False,False,False,True,True,CRM_2025-05-23
2024-11-08,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,,7.0,False,False,True,True,False,True,CRWD_2024-11-08
2024-11-15,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,7.0,19.0,False,False,False,True,True,True,CRWD_2024-11-15
2024-12-04,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,19.0,12.0,False,False,False,True,True,True,CRWD_2024-12-04
2024-12-16,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,12.0,10.0,False,False,True,True,True,True,CRWD_2024-12-16
2024-12-26,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,10.0,8.0,False,False,True,True,True,True,CRWD_2024-12-26
2025-01-03,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,8.0,13.0,False,False,False,True,True,True,CRWD_2025-01-03
2025-01-16,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,13.0,21.0,False,False,False,False,True,True,CRWD_2025-01-16
2025-02-06,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,21.0,5.0,False,True,True,True,False,True,CRWD_2025-02-06
2025-02-11,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,5.0,7.0,False,False,True,True,True,True,CRWD_2025-02-11
2025-02-18,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,7.0,1.0,True,True,True,True,True,True,CRWD_2025-02-18
2025-02-19,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,1.0,13.0,False,False,False,True,True,True,CRWD_2025-02-19
2025-03-04,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,13.0,13.0,False,False,False,True,True,True,CRWD_2025-03-04
2025-03-17,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,13.0,8.0,False,False,True,True,True,True,CRWD_2025-03-17
2025-03-25,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,8.0,8.0,False,False,True,True,True,True,CRWD_2025-03-25
2025-04-02,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,8.0,6.0,False,False,True,True,True,True,CRWD_2025-04-02
2025-04-08,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,6.0,8.0,False,False,True,True,True,True,CRWD_2025-04-08
2025-04-16,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,8.0,6.0,False,False,True,True,True,True,CRWD_2025-04-16
2025-04-22,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,6.0,6.0,False,False,True,True,True,True,CRWD_2025-04-22
2025-04-28,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,6.0,4.0,False,True,True,True,True,True,CRWD_2025-04-28
2025-05-02,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,4.0,4.0,False,True,True,True,True,True,CRWD_2025-05-02
2025-05-06,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,4.0,22.0,False,False,False,False,True,True,CRWD_2025-05-06
2025-05-28,CRWD,"Crowdstrike Holdings, Inc.",S - Sale,22.0,,False,False,False,False,False,False,CRWD_2025-05-28
2024-12-02,CRWD,"Crowdstrike Holdings, Inc.",S - Sale+OE,,4.0,False,True,True,True,False,True,CRWD_2024-12-02
2024-12-06,CRWD,"Crowdstrike Holdings, Inc.",S - Sale+OE,4.0,12.0,False,False,False,True,True,True,CRWD_2024-12-06
2024-12-18,CRWD,"Crowdstrike Holdings, Inc.",S - Sale+OE,12.0,113.0,False,False,False,False,True,True,CRWD_2024-12-18
2025-04-10,CRWD,"Crowdstrike Holdings, Inc.",S - Sale+OE,113.0,,False,False,False,False,False,False,CRWD_2025-04-10
2024-11-19,CSCO,"Cisco Systems, Inc.",S - Sale,,2.0,False,True,True,True,False,True,CSCO_2024-11-19
2024-11-21,CSCO,"Cisco Systems, Inc.",S - Sale,2.0,11.0,False,False,False,True,True,True,CSCO_2024-11-21
2024-12-02,CSCO,"Cisco Systems, Inc.",S - Sale,11.0,4.0,False,True,True,True,True,True,CSCO_2024-12-02
2024-12-06,CSCO,"Cisco Systems, Inc.",S - Sale,4.0,6.0,False,False,True,True,True,True,CSCO_2024-12-06
2024-12-12,CSCO,"Cisco Systems, Inc.",S - Sale,6.0,68.0,False,False,False,False,True,True,CSCO_2024-12-12
2025-02-18,CSCO,"Cisco Systems, Inc.",S - Sale,68.0,6.0,False,False,True,True,False,True,CSCO_2025-02-18
2025-02-24,CSCO,"Cisco Systems, Inc.",S - Sale,6.0,3.0,False,True,True,True,True,True,CSCO_2025-02-24
2025-02-27,CSCO,"Cisco Systems, Inc.",S - Sale,3.0,13.0,False,False,False,True,True,True,CSCO_2025-02-27
2025-03-12,CSCO,"Cisco Systems, Inc.",S - Sale,13.0,69.0,False,False,False,False,True,True,CSCO_2025-03-12
2025-05-20,CSCO,"Cisco Systems, Inc.",S - Sale,69.0,9.0,False,False,True,True,False,True,CSCO_2025-05-20
2025-05-29,CSCO,"Cisco Systems, Inc.",S - Sale,9.0,,False,False,False,False,True,True,CSCO_2025-05-29
2024-11-26,DELL,Dell Technologies Inc.,S - Sale,,8.0,False,False,True,True,False,True,DELL_2024-11-26
2024-12-04,DELL,Dell Technologies Inc.,S - Sale,8.0,5.0,False,True,True,True,True,True,DELL_2024-12-04
2024-12-09,DELL,Dell Technologies Inc.,S - Sale,5.0,2.0,False,True,True,True,True,True,DELL_2024-12-09
2024-12-11,DELL,Dell Technologies Inc.,S - Sale,2.0,28.0,False,False,False,False,True,True,DELL_2024-12-11
2025-01-08,DELL,Dell Technologies Inc.,S - Sale,28.0,83.0,False,False,False,False,False,False,DELL_2025-01-08
2025-04-01,DELL,Dell Technologies Inc.,S - Sale,83.0,45.0,False,False,False,False,False,False,DELL_2025-04-01
2025-05-16,DELL,Dell Technologies Inc.,S - Sale,45.0,,False,False,False,False,False,False,DELL_2025-05-16
2024-11-19,DELL,Dell Technologies Inc.,S - Sale+OE,,20.0,False,False,False,True,False,True,DELL_2024-11-19
2024-12-09,DELL,Dell Technologies Inc.,S - Sale+OE,20.0,8.0,False,False,True,True,True,True,DELL_2024-12-09
2024-12-17,DELL,Dell Technologies Inc.,S - Sale+OE,8.0,22.0,False,False,False,False,True,True,DELL_2024-12-17
2025-01-08,DELL,Dell Technologies Inc.,S - Sale+OE,22.0,16.0,False,False,False,True,False,True,DELL_2025-01-08
2025-01-24,DELL,Dell Technologies Inc.,S - Sale+OE,16.0,27.0,False,False,False,False,True,True,DELL_2025-01-24
2025-02-20,DELL,Dell Technologies Inc.,S - Sale+OE,27.0,,False,False,False,False,False,False,DELL_2025-02-20
2024-11-06,EBAY,Ebay Inc,S - Sale,,21.0,False,False,False,False,False,False,EBAY_2024-11-06
2024-11-27,EBAY,Ebay Inc,S - Sale,21.0,8.0,False,False,True,True,False,True,EBAY_2024-11-27
2024-12-05,EBAY,Ebay Inc,S - Sale,8.0,32.0,False,False,False,False,True,True,EBAY_2024-12-05
2025-01-06,EBAY,Ebay Inc,S - Sale,32.0,30.0,False,False,False,False,False,False,EBAY_2025-01-06
2025-02-05,EBAY,Ebay Inc,S - Sale,30.0,28.0,False,False,False,False,False,False,EBAY_2025-02-05
2025-03-05,EBAY,Ebay Inc,S - Sale,28.0,15.0,False,False,False,True,False,True,EBAY_2025-03-05
2025-03-20,EBAY,Ebay Inc,S - Sale,15.0,14.0,False,False,False,True,True,True,EBAY_2025-03-20
2025-04-03,EBAY,Ebay Inc,S - Sale,14.0,4.0,False,True,True,True,True,True,EBAY_2025-04-03
2025-04-07,EBAY,Ebay Inc,S - Sale,4.0,29.0,False,False,False,False,True,True,EBAY_2025-04-07
2025-05-06,EBAY,Ebay Inc,S - Sale,29.0,2.0,False,True,True,True,False,True,EBAY_2025-05-06
2025-05-08,EBAY,Ebay Inc,S - Sale,2.0,14.0,False,False,False,True,True,True,EBAY_2025-05-08
2025-05-22,EBAY,Ebay Inc,S - Sale,14.0,,False,False,False,False,True,True,EBAY_2025-05-22
2024-11-19,EBAY,Ebay Inc,S - Sale+OE,,28.0,False,False,False,False,False,False,EBAY_2024-11-19
2024-12-17,EBAY,Ebay Inc,S - Sale+OE,28.0,31.0,False,False,False,False,False,False,EBAY_2024-12-17
2025-01-17,EBAY,Ebay Inc,S - Sale+OE,31.0,33.0,False,False,False,False,False,False,EBAY_2025-01-17
2025-02-19,EBAY,Ebay Inc,S - Sale+OE,33.0,27.0,False,False,False,False,False,False,EBAY_2025-02-19
