Ticker,Company Name,Insider Name,Title
APP,Applovin Corp,Foroughi Arash Adam,"CEO, Chairperson, 10%"
APP,Applovin Corp,Chen Herald Y,Dir
AVGO,Broadcom Inc.,You Harry L.,Dir
AVGO,Broadcom Inc.,Bryant Diane M,Dir
AVGO,Broadcom Inc.,Spears Kirsten M.,"CFO, Chief Accounting Officer"
AVGO,Broadcom Inc.,Brazeal Mark David,"Chief Legal, Corp Affairs Ofc"
AVGO,Broadcom Inc.,Tan Hock E,"Pres, CEO"
AVGO,Broadcom Inc.,Kawwas Charlie B,"Pres, Semi Solutions Grp"
AVGO,Broadcom Inc.,Low Check Kian,Dir
AVGO,Broadcom Inc.,Hartenstein Eddy W,Dir
AVGO,Broadcom Inc.,Samueli Henry,Dir
AVGO,Broadcom Inc.,Page Justine,Dir
CRM,"Salesforce, Inc.",Reddy Sundeep G.,"EVP, Chief Accounting Officer"
CRM,"Salesforce, Inc.",Harris Parker,"Co-Founder, CTO, Slack"
CRM,"Salesforce, Inc.",Millham Brian,"Pres, COO"
CRM,"Salesforce, Inc.",Niles Sabastian,"Pres, CLO"
CRM,"Salesforce, Inc.",Milano Miguel,"Pres, CRO"
CRM,"Salesforce, Inc.",Benioff Marc,"Chair, CEO"
CRM,"Salesforce, Inc.",Morfit G Mason,See Remarks
CRM,"Salesforce, Inc.",Tallapragada Srinivas,"Pres, Chief Engineering Office"
CRM,"Salesforce, Inc.",Weaver Amy E,"Pres, CFO"
CRM,"Salesforce, Inc.",Schmaier R David,"Pres, Chief Product Officer"
CRM,"Salesforce, Inc.",Washington Robin L,Dir
CRM,"Salesforce, Inc.",Millham Brian,Advisor to CEO
CRM,"Salesforce, Inc.",Munoz Oscar,Dir
CRM,"Salesforce, Inc.",Tallapragada Srinivas,"Chief Eng, Cust Success Office"
CRM,"Salesforce, Inc.",Schmaier R David,"Chief Product, Impact Officer"
CRWD,"Crowdstrike Holdings, Inc.",Gandhi Sameer K,Dir
CRWD,"Crowdstrike Holdings, Inc.",Henry Shawn,CHIEF SECURITY OFFICER
CRWD,"Crowdstrike Holdings, Inc.",Watzinger Gerhard,Dir
CRWD,"Crowdstrike Holdings, Inc.",Oleary Denis,Dir
CRWD,"Crowdstrike Holdings, Inc.",Austin Roxanne S,Dir
CRWD,"Crowdstrike Holdings, Inc.",Podbere Burt W.,CFO
CRWD,"Crowdstrike Holdings, Inc.",Kurtz George,"Pres, CEO"
CRWD,"Crowdstrike Holdings, Inc.",Sentonas Michael,Pres
CRWD,"Crowdstrike Holdings, Inc.",Saha Anurag,CHIEF ACCOUNTING OFFICER
CRWD,"Crowdstrike Holdings, Inc.",Flower Johanna,Dir
CSCO,"Cisco Systems, Inc.",Stahlkopf Deborah L,"EVP, GC"
CSCO,"Cisco Systems, Inc.",Herren Richard Scott,"EVP, CFO"
CSCO,"Cisco Systems, Inc.",Robbins Charles,"Chair, CEO"
CSCO,"Cisco Systems, Inc.",Subaiya Thimaya K.,"EVP, Operations"
CSCO,"Cisco Systems, Inc.",Wong Maria Victoria,"SVP, Chief Acctg Officer"
CSCO,"Cisco Systems, Inc.",Johnson Kristina M,Dir
CSCO,"Cisco Systems, Inc.",Patel Jeetendra I,"Pres, CPO"
CSCO,"Cisco Systems, Inc.",Tuszik Oliver,"EVP, Global Sales"
DELL,Dell Technologies Inc.,Vojvodich Radakovich Lynn,Dir
DELL,Dell Technologies Inc.,McGill Yvonne,CFO
DELL,Dell Technologies Inc.,"Slta IV (Gp), L.L.C.","Dir, 10%"
DELL,Dell Technologies Inc.,"Slta V (Gp), L.L.C.","Dir, 10%"
DELL,Dell Technologies Inc.,"Silver Lake Group, L.L.C.","Dir, 10%"
DELL,Dell Technologies Inc.,Rios Brunilda,Chief Accounting Officer
EBAY,Ebay Inc,Iannone Jamie,"Pres, CEO"
EBAY,Ebay Inc,Garcia Edward O,"SVP, Chief Product Officer"
EBAY,Ebay Inc,Spencer Rebecca,"VP, Chief Accounting Officer"
EBAY,Ebay Inc,Priest Stephen J,"SVP, CFO"
EBAY,Ebay Inc,Boone Cornelius,"SVP, Chief People Officer"
EBAY,Ebay Inc,Loeger Julie A,"SVP, Chief Growth Officer"
GOOGL,Alphabet Inc.,Shriram Kavitark Ram,Dir
GOOGL,Alphabet Inc.,Arnold Frances,Dir
GOOGL,Alphabet Inc.,O'Toole Amie Thuener,"VP, Chief Accounting Officer"
GOOGL,Alphabet Inc.,Pichai Sundar,CEO
GOOGL,Alphabet Inc.,Hennessy John L,Dir
GOOGL,Alphabet Inc.,Walker John Kent,"Pres, Global Affairs, CLO"
GOOGL,Alphabet Inc.,Porat Ruth,"Pres, Chief Invs. Officer"
GOOGL,Alphabet Inc.,Hennessy John L.,Dir
IBM,International Business Machines Corp,Lamoreaux Nickle Jaclyn,SVP
IBM,International Business Machines Corp,Zollar Alfred W,Dir
IBM,International Business Machines Corp,Farr David N,Dir
IBM,International Business Machines Corp,Thomas Robert David,SVP
INTC,Intel Corp,Gelsinger Patrick P,CEO
INTC,Intel Corp,Holthaus Michelle Johnston,"EVP, GM, CCG"
LRCX,Lam Research Corp,Mayer Bethany,Dir
LRCX,Lam Research Corp,Varadarajan Seshasayee,SVP
META,"Meta Platforms, Inc.",Zuckerberg Mark,"COB, CEO, 10%"
META,"Meta Platforms, Inc.",Olivan Javier,COO
META,"Meta Platforms, Inc.",Newstead Jennifer,GC
META,"Meta Platforms, Inc.",Clegg Nicholas,"Pres, Global Affairs"
META,"Meta Platforms, Inc.",Anderson Aaron,Chief Accounting Officer
META,"Meta Platforms, Inc.",Li Susan J,CFO
META,"Meta Platforms, Inc.",Bosworth Andrew,CTO
META,"Meta Platforms, Inc.",Alford Peggy,Dir
META,"Meta Platforms, Inc.",Cox Christopher K,Chief Product Officer
META,"Meta Platforms, Inc.",Kimmitt Robert M,Dir
MSFT,Microsoft Corp,Young Christopher David,"EVP, Business Development"
MSFT,Microsoft Corp,Althoff Judson,"EVP, Chief Commercial Officer"
MSFT,Microsoft Corp,Numoto Takeshi,"EVP, CMO"
MSFT,Microsoft Corp,Smith Bradford L,"Vice Chair, Pres"
MSFT,Microsoft Corp,Coleman Amy,"EVP, Chief HR Off"
MSFT,Microsoft Corp,Hogan Kathleen T,"EVP, Strategy"
MU,Micron Technology Inc,Arnzen April S,"EVP, Chief People Officer"
MU,Micron Technology Inc,Allen Scott R.,"CVP, Chief Accounting Officer"
MU,Micron Technology Inc,Ray Michael Charles,"SVP, GC"
MU,Micron Technology Inc,Deboer Scott J,"EVP, CTO, Products Officer"
MU,Micron Technology Inc,Mehrotra Sanjay,"Pres, CEO"
MU,Micron Technology Inc,McCarthy Mary Pat,Dir
NOW,"Servicenow, Inc.",Mastantuono Gina,CFO
NOW,"Servicenow, Inc.",Miller Jeffrey A,Dir
NOW,"Servicenow, Inc.",Smith Paul John,Chief Commercial Officer
NOW,"Servicenow, Inc.",Canney Jacqueline P,Chief People Officer
NOW,"Servicenow, Inc.",McBride Kevin Thomas,Principal Accounting Officer
NOW,"Servicenow, Inc.",Elmer Russell S,GC
NOW,"Servicenow, Inc.",McDermott William R,"COB, CEO"
NOW,"Servicenow, Inc.",Tzitzon Nicholas,"Chief Strat, Corp Affairs Ofc"
NOW,"Servicenow, Inc.",Sands Anita M,Dir
NOW,"Servicenow, Inc.",Chamberlain Paul Edward,Dir
NOW,"Servicenow, Inc.",Quinlan Larry,Dir
NOW,"Servicenow, Inc.",Smith Paul John,"Pres, Global Cust.,Field Ops"
NOW,"Servicenow, Inc.",Canney Jacqueline P,"Chief People, AI Enblmt. Offic"
NOW,"Servicenow, Inc.",Mastantuono Gina,"Pres, CFO"
NOW,"Servicenow, Inc.",Tzitzon Nicholas,Vice COB
NOW,"Servicenow, Inc.",Black Deborah,Dir
NOW,"Servicenow, Inc.",Chadwick Jonathan,Dir
NOW,"Servicenow, Inc.",Luddy Frederic B,Dir
NOW,"Servicenow, Inc.",Briggs Teresa,Dir
NVDA,Nvidia Corp,Dabiri John,Dir
NVDA,Nvidia Corp,Robertson Donald F Jr,Principal Accounting Officer
NVDA,Nvidia Corp,Kress Colette,"EVP, CFO"
NVDA,Nvidia Corp,Coxe Tench,Dir
NVDA,Nvidia Corp,Puri Ajay K,"EVP, Worldwide Field Ops"
NVDA,Nvidia Corp,Burgess Robert K,Dir
NVDA,Nvidia Corp,Shah Aarti S.,Dir
ORCL,Oracle Corp,Catz Safra,CEO
ORCL,Oracle Corp,Moorman Charles W,Dir
ORCL,Oracle Corp,Boskin Michael J,Dir
ORCL,Oracle Corp,Seligman Naomi O,Dir
ORCL,Oracle Corp,Panetta Leon E,Dir
PLTR,Palantir Technologies Inc.,Moore Alexander D.,Dir
PLTR,Palantir Technologies Inc.,Karp Alexander C.,See Remarks
PLTR,Palantir Technologies Inc.,Planishek Heather A.,See Remarks
PLTR,Palantir Technologies Inc.,Stat Lauren Elaina Friedman,Dir
PLTR,Palantir Technologies Inc.,Cohen Stephen Andrew,See Remarks
PLTR,Palantir Technologies Inc.,Sankar Shyam,See Remarks
PLTR,Palantir Technologies Inc.,Taylor Ryan D.,See Remarks
PLTR,Palantir Technologies Inc.,Glazer David A.,See Remarks
PLTR,Palantir Technologies Inc.,Schiff Alexandra W.,Dir
PLTR,Palantir Technologies Inc.,Buckley Jeffrey,See Remarks
PYPL,"Paypal Holdings, Inc.",McGovern Gail J,Dir
TSLA,"Tesla, Inc.",Taneja Vaibhav,CFO
TSLA,"Tesla, Inc.",Musk Kimbal,Dir
TSLA,"Tesla, Inc.",Wilson-Thompson Kathleen,Dir
TSLA,"Tesla, Inc.",Denholm Robyn M,Dir
TSLA,"Tesla, Inc.",Murdoch James R,Dir
TSLA,"Tesla, Inc.",Gebbia Joseph,Dir
TSLA,"Tesla, Inc.",Ehrenpreis IRA Matthew,Dir
TXN,Texas Instruments Inc,Ilan Haviv,"Pres, CEO"
TXN,Texas Instruments Inc,Witzsche Christine,SVP
TXN,Texas Instruments Inc,Gary Mark,SVP
TXN,Texas Instruments Inc,Bahai Ahmad,SVP
TXN,Texas Instruments Inc,Yunus Mohammad,SVP
TXN,Texas Instruments Inc,Lizardi Rafael R,"SVP, CFO"
TXN,Texas Instruments Inc,Kirk Ronald,Dir
TXN,Texas Instruments Inc,Blinn Mark A,Dir
TXN,Texas Instruments Inc,Leonard Shanon J,SVP
TXN,Texas Instruments Inc,Templeton Richard K,COB
TXN,Texas Instruments Inc,Clark Janet F,Dir
VZ,Verizon Communications Inc,Malady Kyle,"EVP, Group CEO-VZ Business"
VZ,Verizon Communications Inc,Venkatesh Vandana,"EVP-PubPol, ChiefLegalOfficer"
