ticker,trade_date,insider_name,trade_type,shares,price,value,raw_response_preview
AAPL,2025-04-22,Levinson Arthur D,S - Sale,800.0,200.25,160200.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Levinson Arthur D"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""tot"
AAPL,2025-05-30,Levinson Arthur D,S - Sale+OE,1500.0,205.0,307500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Levinson Arthur D"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""tot"
AAPL,2024-11-15,Williams Jeffrey E,S - Sale,1000.0,180.5,180500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Williams Jeffrey E"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""to"
AAPL,2024-12-20,Williams Jeffrey E,P - Purchase,500.0,175.25,87625.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Williams Jeffrey E"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""to"
AAPL,2025-01-10,Williams Jeffrey E,S - Sale+OE,750.0,185.75,139312.5,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Williams Jeffrey E"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""to"
AAPL,2025-02-28,Williams Jeffrey E,P - Purchase,300.0,190.0,57000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Williams Jeffrey E"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""to"
AAPL,2025-03-15,Williams Jeffrey E,S - Sale,1200.0,195.5,234600.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Williams Jeffrey E"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""to"
AAPL,2025-04-30,Williams Jeffrey E,P - Purchase,600.0,200.25,120150.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Williams Jeffrey E"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""to"
AAPL,2025-05-20,Williams Jeffrey E,S - Sale+OE,800.0,205.0,164000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Williams Jeffrey E"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""to"
AAPL,2024-11-15,Adams Katherine L.,S - Sale,1000.0,180.5,180500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Adams Katherine L."",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""to"
AAPL,2024-12-20,Adams Katherine L.,P - Purchase,500.0,175.25,87625.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Adams Katherine L."",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""to"
AAPL,2025-02-10,Adams Katherine L.,S - Sale+OE,750.0,185.75,139312.5,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Adams Katherine L."",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""to"
AAPL,2025-03-15,Adams Katherine L.,P - Purchase,300.0,190.0,57000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Adams Katherine L."",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""to"
AAPL,2025-05-22,Adams Katherine L.,S - Sale,1200.0,195.5,234600.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Adams Katherine L."",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""to"
AAPL,2024-11-15,Cook Timothy D,S - Sale,25000.0,180.5,4512500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Cook Timothy D"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 25000,
    ""price_per_share"": 180.50,
    ""total_valu"
AAPL,2024-12-10,Cook Timothy D,S - Sale,15000.0,175.25,2628750.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Cook Timothy D"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 25000,
    ""price_per_share"": 180.50,
    ""total_valu"
AAPL,2025-01-20,Cook Timothy D,P - Purchase,5000.0,165.75,828750.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Cook Timothy D"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 25000,
    ""price_per_share"": 180.50,
    ""total_valu"
AAPL,2025-02-25,Cook Timothy D,S - Sale+OE,30000.0,170.0,5100000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Cook Timothy D"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 25000,
    ""price_per_share"": 180.50,
    ""total_valu"
AAPL,2025-03-15,Cook Timothy D,S - Sale,20000.0,168.5,3370000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Cook Timothy D"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 25000,
    ""price_per_share"": 180.50,
    ""total_valu"
AAPL,2025-04-10,Cook Timothy D,P - Purchase,10000.0,160.25,1602500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Cook Timothy D"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 25000,
    ""price_per_share"": 180.50,
    ""total_valu"
AAPL,2025-05-20,Cook Timothy D,S - Sale,10000.0,172.0,1720000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Cook Timothy D"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 25000,
    ""price_per_share"": 180.50,
    ""total_valu"
AAPL,2024-11-15,Parekh Kevan,S - Sale,1000.0,180.5,180500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Parekh Kevan"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""total_va"
AAPL,2024-12-20,Parekh Kevan,P - Purchase,500.0,175.25,87625.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Parekh Kevan"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""total_va"
AAPL,2025-01-10,Parekh Kevan,S - Sale+OE,750.0,185.75,139312.5,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Parekh Kevan"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""total_va"
AAPL,2025-03-05,Parekh Kevan,P - Purchase,300.0,190.0,57000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Parekh Kevan"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""total_va"
AAPL,2025-05-22,Parekh Kevan,S - Sale,1200.0,195.5,234600.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Parekh Kevan"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 180.50,
    ""total_va"
ADBE,2024-11-15,Banse Amy,S - Sale,1000.0,500.25,500250.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Banse Amy"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_value"
ADBE,2024-12-20,Banse Amy,P - Purchase,500.0,495.75,247875.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Banse Amy"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_value"
ADBE,2025-01-10,Banse Amy,S - Sale+OE,750.0,510.5,382875.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Banse Amy"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_value"
ADBE,2025-02-28,Banse Amy,P - Purchase,300.0,505.0,151500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Banse Amy"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_value"
ADBE,2025-03-15,Banse Amy,S - Sale,1200.0,520.0,624000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Banse Amy"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_value"
ADBE,2025-04-30,Banse Amy,P - Purchase,800.0,515.25,412200.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Banse Amy"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_value"
ADBE,2025-05-20,Banse Amy,S - Sale+OE,600.0,525.75,315450.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Banse Amy"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_value"
ADBE,2024-11-15,Belsky Scott,S - Sale,1000.0,500.25,500250.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Belsky Scott"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_va"
ADBE,2024-12-20,Belsky Scott,P - Purchase,500.0,495.75,247875.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Belsky Scott"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_va"
ADBE,2025-01-10,Belsky Scott,S - Sale+OE,750.0,510.5,382875.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Belsky Scott"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_va"
ADBE,2025-03-05,Belsky Scott,P - Purchase,300.0,520.0,156000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Belsky Scott"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_va"
ADBE,2025-05-20,Belsky Scott,S - Sale,1200.0,530.75,636900.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Belsky Scott"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_va"
ADBE,2024-11-15,Forusz Jillian,S - Sale,1000.0,500.25,500250.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Forusz Jillian"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_"
ADBE,2025-01-20,Forusz Jillian,P - Purchase,500.0,495.75,247875.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Forusz Jillian"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_"
ADBE,2025-03-10,Forusz Jillian,S - Sale+OE,750.0,510.5,382875.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Forusz Jillian"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_"
ADBE,2025-05-05,Forusz Jillian,P - Purchase,300.0,520.0,156000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Forusz Jillian"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_"
ADBE,2024-11-15,Ricks David A,S - Sale,1000.0,500.25,500250.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Ricks David A"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_v"
ADBE,2024-12-20,Ricks David A,P - Purchase,500.0,495.75,247875.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Ricks David A"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_v"
ADBE,2025-01-10,Ricks David A,S - Sale+OE,750.0,510.5,382875.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Ricks David A"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_v"
ADBE,2025-02-28,Ricks David A,P - Purchase,300.0,505.0,151500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Ricks David A"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_v"
ADBE,2025-03-15,Ricks David A,S - Sale,1200.0,520.0,624000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Ricks David A"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_v"
ADBE,2025-04-30,Ricks David A,P - Purchase,800.0,515.25,412200.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Ricks David A"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_v"
ADBE,2025-05-20,Ricks David A,S - Sale+OE,600.0,525.75,315450.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Ricks David A"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_v"
ADBE,2024-11-15,Durn Daniel,S - Sale,1000.0,500.25,500250.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Durn Daniel"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_val"
ADBE,2024-12-20,Durn Daniel,P - Purchase,500.0,495.75,247875.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Durn Daniel"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_val"
ADBE,2025-01-10,Durn Daniel,S - Sale+OE,750.0,510.5,382875.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Durn Daniel"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_val"
ADBE,2025-03-05,Durn Daniel,P - Purchase,300.0,520.0,156000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Durn Daniel"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_val"
ADBE,2025-05-20,Durn Daniel,S - Sale,1200.0,530.25,636300.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Durn Daniel"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 500.25,
    ""total_val"
ADI,2024-11-15,Bryant Gregory M,S - Sale,1000.0,150.25,150250.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Bryant Gregory M"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""tota"
ADI,2024-12-20,Bryant Gregory M,P - Purchase,500.0,145.75,72875.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Bryant Gregory M"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""tota"
ADI,2025-01-10,Bryant Gregory M,S - Sale+OE,750.0,152.5,114375.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Bryant Gregory M"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""tota"
ADI,2025-03-05,Bryant Gregory M,P - Purchase,300.0,148.2,44460.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Bryant Gregory M"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""tota"
ADI,2025-05-22,Bryant Gregory M,S - Sale,1200.0,155.0,186000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Bryant Gregory M"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""tota"
ADI,2024-11-15,Roche Vincent,S - Sale,5000.0,150.25,751250.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Roche Vincent"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 5000,
    ""price_per_share"": 150.25,
    ""total_v"
ADI,2024-12-20,Roche Vincent,P - Purchase,2000.0,145.75,291500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Roche Vincent"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 5000,
    ""price_per_share"": 150.25,
    ""total_v"
ADI,2025-02-10,Roche Vincent,S - Sale+OE,3000.0,155.5,466500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Roche Vincent"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 5000,
    ""price_per_share"": 150.25,
    ""total_v"
ADI,2025-03-15,Roche Vincent,P - Purchase,1000.0,160.0,160000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Roche Vincent"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 5000,
    ""price_per_share"": 150.25,
    ""total_v"
ADI,2025-05-25,Roche Vincent,S - Sale,4000.0,165.25,661000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Roche Vincent"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 5000,
    ""price_per_share"": 150.25,
    ""total_v"
ADI,2024-11-15,Johnson Mercedes,S - Sale,1000.0,150.25,150250.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Johnson Mercedes"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""tota"
ADI,2024-12-20,Johnson Mercedes,P - Purchase,500.0,145.75,72875.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Johnson Mercedes"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""tota"
ADI,2025-01-10,Johnson Mercedes,S - Sale+OE,750.0,152.5,114375.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Johnson Mercedes"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""tota"
ADI,2025-03-05,Johnson Mercedes,P - Purchase,300.0,148.0,44400.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Johnson Mercedes"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""tota"
ADI,2025-05-22,Johnson Mercedes,S - Sale,1200.0,155.0,186000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Johnson Mercedes"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""tota"
ADI,2024-11-15,Stata Ray,S - Sale,1000.0,150.25,150250.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Stata Ray"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""total_value"
ADI,2024-12-20,Stata Ray,P - Purchase,500.0,145.75,72875.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Stata Ray"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""total_value"
ADI,2025-01-10,Stata Ray,S - Sale+OE,750.0,152.5,114375.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Stata Ray"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""total_value"
ADI,2025-03-05,Stata Ray,P - Purchase,300.0,148.0,44400.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Stata Ray"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""total_value"
ADI,2025-05-22,Stata Ray,S - Sale,1200.0,155.0,186000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Stata Ray"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""total_value"
ADI,2024-11-15,Puccio Richard C Jr,S - Sale,1000.0,150.25,150250.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Puccio Richard C Jr"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""t"
ADI,2024-12-20,Puccio Richard C Jr,P - Purchase,500.0,145.75,72875.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Puccio Richard C Jr"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""t"
ADI,2025-01-10,Puccio Richard C Jr,S - Sale+OE,750.0,152.5,114375.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Puccio Richard C Jr"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""t"
ADI,2025-03-05,Puccio Richard C Jr,P - Purchase,300.0,148.2,44460.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Puccio Richard C Jr"",
    ""role"": ""Director"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""t"
