ticker,earnings_date,eps_estimate,reported_eps,surprise_pct
ADP,2020-04-29 06:00:00,1.89,1.92,1.5
AMAT,2026-02-12 16:00:00,2.21,2.38,7.89
AMAT,2025-11-13 16:00:00,2.09,2.17,3.65
AMAT,2025-08-14 16:00:00,2.36,2.48,5.13
AMAT,2025-05-15 16:00:00,2.31,2.39,3.45
AMAT,2025-02-13 16:00:00,2.3,2.38,3.67
AMAT,2024-11-14 16:00:00,2.19,2.32,5.71
AMAT,2024-08-15 16:00:00,2.03,2.12,4.68
AMAT,2024-05-16 16:00:00,1.99,2.09,5.27
AMAT,2024-02-15 16:00:00,1.91,2.13,11.78
AMAT,2023-11-16 16:00:00,1.99,2.12,6.44
AMAT,2023-08-17 16:00:00,1.75,1.9,8.88
AMAT,2023-05-18 16:00:00,1.83,2.0,9.49
AMAT,2023-02-16 16:00:00,1.92,2.03,5.68
AMAT,2022-11-17 16:00:00,1.74,2.03,16.87
AMAT,2022-08-18 16:00:00,1.78,1.94,8.69
AMAT,2022-05-19 16:00:00,1.9,1.85,-2.77
AMAT,2022-02-16 16:00:00,1.85,1.89,1.89
AMAT,2021-11-18 16:00:00,1.96,1.94,-0.93
AMAT,2021-08-19 16:00:00,1.78,1.9,6.82
AMAT,2021-05-20 16:00:00,1.51,1.63,7.92
AMAT,2021-02-18 16:00:00,1.28,1.39,8.75
AMAT,2020-11-12 16:00:00,1.17,1.25,6.71
AMAT,2020-08-13 16:00:00,0.95,1.06,11.88
AMAT,2020-05-14 16:00:00,0.89,0.89,0.4
AMZN,2026-02-05 16:00:00,1.96,1.95,-0.49
AMZN,2025-10-30 16:00:00,1.56,1.95,25.2
AMZN,2025-07-31 16:00:00,1.32,1.68,27.19
AMZN,2025-05-01 16:00:00,1.36,1.59,16.77
AMZN,2025-02-06 16:00:00,1.48,1.86,25.36
AMZN,2024-10-31 16:00:00,1.14,1.43,25.22
AMZN,2024-08-01 12:00:00,1.02,1.26,23.76
AMZN,2024-04-30 16:00:00,0.83,0.98,18.16
AMZN,2024-02-01 16:00:00,0.8,1.0,24.44
AMZN,2023-10-26 16:00:00,0.58,0.94,62.22
AMZN,2023-08-03 16:00:00,0.34,0.65,91.19
AMZN,2023-04-27 16:00:00,0.21,0.31,46.82
AMZN,2023-02-02 16:00:00,0.17,0.03,-82.2
AMZN,2022-10-27 16:00:00,0.21,0.28,35.53
AMZN,2022-07-28 16:00:00,0.12,-0.2,-272.53
AMZN,2022-04-28 16:00:00,0.42,-0.38,-190.58
AMZN,2022-02-03 16:00:00,0.18,1.39,657.12
AMZN,2021-10-28 16:00:00,0.44,0.31,-30.85
AMZN,2021-07-29 16:00:00,0.61,0.76,23.06
AMZN,2021-04-29 16:00:00,0.47,0.79,67.3
AMZN,2021-02-02 16:00:00,0.35,0.7,100.1
AMZN,2020-10-29 16:00:00,0.38,0.62,64.25
AMZN,2020-07-30 16:00:00,0.08,0.52,543.11
AMZN,2020-04-30 17:00:00,0.31,0.25,-18.0
ANET,2026-02-12 16:00:00,0.76,0.82,8.17
ANET,2025-11-04 16:00:00,0.71,0.75,4.98
ANET,2025-08-05 16:00:00,0.65,0.73,12.38
ANET,2025-05-06 16:00:00,0.59,0.65,9.98
ANET,2025-02-18 16:00:00,0.57,0.65,13.96
ANET,2024-11-07 16:00:00,0.52,0.6,15.31
ANET,2024-07-30 16:00:00,0.48,0.53,8.37
ANET,2024-05-07 16:00:00,0.44,0.5,14.31
ANET,2024-02-12 16:00:00,0.43,0.52,21.6
ANET,2023-10-30 16:00:00,0.39,0.46,16.12
ANET,2023-07-31 16:00:00,0.36,0.4,9.89
ANET,2023-05-01 16:00:00,0.34,0.36,6.26
ANET,2023-02-13 16:00:00,0.3,0.35,16.19
ANET,2022-10-31 16:00:00,0.26,0.31,19.48
ANET,2022-08-01 16:00:00,0.23,0.27,17.24
ANET,2022-05-02 16:00:00,0.2,0.21,3.91
ANET,2022-02-14 16:00:00,0.18,0.21,11.77
ANET,2021-11-01 16:00:00,0.17,0.19,9.0
ANET,2021-08-02 16:00:00,0.16,0.17,6.76
ANET,2021-05-04 16:00:00,0.15,0.16,5.16
ANET,2021-02-18 16:00:00,0.15,0.16,4.3
ANET,2020-11-02 16:00:00,0.14,0.15,8.91
ANET,2020-08-04 16:00:00,0.12,0.13,8.18
ANET,2020-05-05 17:00:00,0.11,0.13,11.45
APP,2026-02-11 16:00:00,2.94,3.24,10.05
APP,2025-11-05 16:00:00,2.39,2.45,2.61
APP,2025-08-06 16:00:00,2.32,2.36,1.71
APP,2025-05-07 16:00:00,1.44,1.67,15.78
APP,2025-02-12 16:00:00,1.26,1.73,37.53
APP,2024-11-06 16:00:00,1.23,1.47,19.64
APP,2024-08-07 16:00:00,0.73,0.89,22.1
APP,2024-05-08 17:00:00,0.55,0.67,21.54
APP,2024-02-14 16:00:00,0.35,0.49,39.34
APP,2023-11-08 16:00:00,0.61,0.61,0.77
APP,2023-08-09 16:00:00,0.49,0.41,-17.07
APP,2023-05-10 16:00:00,0.06,-0.01,-116.36
APP,2023-02-08 16:00:00,0.05,-0.22,-571.9
APP,2022-11-09 16:00:00,0.07,0.06,-10.91
APP,2022-08-10 16:00:00,0.5,0.53,5.84
APP,2022-05-11 16:00:00,0.44,0.06,-86.59
APP,2022-02-16 16:00:00,0.1,0.08,-21.09
APP,2021-08-11 16:00:00,0.16,0.46,188.49
APP,2021-05-12 16:00:00,-0.01,-0.05,-375.29
AVGO,2026-03-04 16:00:00,2.02,2.05,1.32
AVGO,2025-12-11 16:00:00,1.87,1.95,4.38
AVGO,2025-09-04 16:00:00,1.66,1.69,1.6
AVGO,2025-06-05 16:00:00,1.57,1.58,0.59
AVGO,2025-03-06 16:00:00,1.51,1.6,6.11
AVGO,2024-12-12 16:00:00,1.39,1.42,2.04
AVGO,2024-09-05 16:00:00,1.21,1.24,2.79
AVGO,2024-06-12 16:00:00,1.08,1.1,1.08
AVGO,2024-03-07 16:00:00,1.04,1.1,5.44
AVGO,2023-12-07 16:00:00,1.1,1.11,0.94
AVGO,2023-08-31 16:00:00,1.04,1.05,1.03
AVGO,2023-06-01 16:00:00,1.01,1.03,1.75
AVGO,2023-03-02 16:00:00,1.02,1.03,1.65
AVGO,2022-12-08 16:00:00,1.03,1.05,1.64
AVGO,2022-09-01 16:00:00,0.95,0.97,1.92
AVGO,2022-05-26 07:00:00,0.87,0.91,4.05
AVGO,2022-03-03 16:00:00,0.81,0.84,3.01
AVGO,2021-12-09 16:00:00,0.78,0.78,0.51
AVGO,2021-09-02 16:00:00,0.69,0.7,0.72
AVGO,2021-06-03 16:00:00,0.65,0.66,2.47
AVGO,2021-03-04 16:00:00,0.66,0.66,0.58
AVGO,2020-12-10 16:00:00,0.62,0.64,2.42
AVGO,2020-09-03 16:00:00,0.52,0.54,4.0
AVGO,2020-06-04 16:00:00,0.51,0.51,0.03
CRM,2026-02-25 16:00:00,3.05,3.81,24.91
CRM,2025-12-03 16:00:00,2.86,3.25,13.57
CRM,2025-09-03 16:00:00,2.78,2.91,4.7
CRM,2025-05-28 16:00:00,2.55,2.58,1.31
CRM,2025-02-26 16:00:00,2.61,2.78,6.43
CRM,2024-12-03 16:00:00,2.45,2.41,-1.47
CRM,2024-08-28 16:00:00,2.36,2.56,8.63
CRM,2024-05-29 16:00:00,2.37,2.44,2.75
CRM,2024-02-28 16:00:00,2.27,2.29,0.96
CRM,2023-11-29 16:00:00,2.06,2.11,2.52
CRM,2023-08-30 16:00:00,1.9,2.12,11.45
CRM,2023-05-31 16:00:00,1.61,1.69,4.84
CRM,2023-03-01 16:00:00,1.36,1.68,23.43
CRM,2022-11-30 16:00:00,1.22,1.4,14.55
CRM,2022-08-24 16:00:00,1.03,1.19,15.75
CRM,2022-05-31 16:00:00,0.94,0.98,3.73
CRM,2022-03-01 16:00:00,0.75,0.84,11.85
CRM,2021-11-30 16:00:00,0.92,1.27,37.89
CRM,2021-08-25 16:00:00,0.93,1.48,59.49
CRM,2021-05-27 16:00:00,0.88,1.21,36.96
CRM,2021-02-25 16:00:00,0.75,1.04,38.5
CRM,2020-12-01 16:00:00,0.75,1.74,132.27
CRM,2020-08-25 16:00:00,0.67,1.44,115.91
CRM,2020-05-28 16:00:00,0.69,0.7,0.74
CRWD,2026-03-03 16:00:00,1.1,1.12,1.56
CRWD,2025-12-02 16:00:00,0.94,0.96,1.98
CRWD,2025-08-27 16:00:00,0.83,0.93,12.05
CRWD,2025-06-03 16:00:00,0.66,0.73,10.62
CRWD,2025-03-04 16:00:00,0.86,1.03,19.85
CRWD,2024-11-26 16:00:00,0.81,0.93,14.94
CRWD,2024-08-28 16:00:00,0.97,1.04,7.74
CRWD,2024-06-04 16:00:00,0.89,0.93,4.38
CRWD,2024-03-05 16:00:00,0.82,0.95,15.29
CRWD,2023-11-28 16:00:00,0.74,0.82,10.86
CRWD,2023-08-30 16:00:00,0.56,0.74,32.61
CRWD,2023-05-31 16:00:00,0.5,0.57,13.65
CRWD,2023-03-07 16:00:00,0.43,0.47,10.45
CRWD,2022-11-29 16:00:00,0.32,0.4,26.51
CRWD,2022-08-30 16:00:00,0.27,0.36,31.87
CRWD,2022-06-02 16:00:00,0.23,0.31,33.21
CRWD,2022-03-09 16:00:00,0.2,0.3,47.93
CRWD,2021-12-01 16:00:00,0.1,0.17,72.71
CRWD,2021-08-31 16:00:00,0.09,0.11,28.93
CRWD,2021-06-03 16:00:00,0.06,0.1,74.06
CRWD,2021-03-16 16:00:00,0.08,0.13,53.37
CRWD,2020-12-02 16:00:00,,0.08,18281.82
CRWD,2020-09-01 20:00:00,-0.01,0.03,488.6
CRWD,2020-06-02 16:00:00,-0.06,0.02,132.59
CSCO,2026-02-11 16:00:00,1.02,1.04,1.75
CSCO,2025-11-12 16:00:00,0.98,1.0,1.82
CSCO,2025-08-13 16:00:00,0.98,0.99,1.3
CSCO,2025-05-14 16:00:00,0.92,0.96,4.64
CSCO,2025-02-12 16:00:00,0.91,0.94,3.41
CSCO,2024-11-13 16:00:00,0.45,0.68,51.45
CSCO,2024-08-14 16:00:00,0.85,0.87,2.49
CSCO,2024-05-15 16:00:00,0.82,0.88,7.71
CSCO,2024-02-14 16:00:00,0.84,0.87,3.96
CSCO,2023-11-15 16:00:00,1.03,1.11,7.71
CSCO,2023-08-16 16:00:00,1.06,1.14,7.68
CSCO,2023-05-17 16:00:00,0.97,1.0,3.25
CSCO,2023-02-15 16:00:00,0.86,0.88,2.84
CSCO,2022-11-16 16:00:00,0.84,0.86,2.85
CSCO,2022-08-17 16:00:00,0.82,0.83,1.07
CSCO,2022-05-18 16:00:00,0.86,0.87,0.93
CSCO,2022-02-16 16:00:00,0.81,0.84,3.78
CSCO,2021-11-17 16:00:00,0.8,0.82,1.92
CSCO,2021-08-18 16:00:00,0.83,0.84,1.46
CSCO,2021-05-19 16:00:00,0.82,0.83,1.11
CSCO,2021-02-09 16:00:00,0.76,0.79,4.61
CSCO,2020-11-12 16:00:00,0.7,0.76,8.04
CSCO,2020-08-12 16:00:00,0.74,0.8,8.42
CSCO,2020-05-13 16:00:00,0.71,0.79,12.03
DELL,2026-02-26 16:00:00,3.51,3.89,10.74
DELL,2025-11-25 16:00:00,2.48,2.59,4.55
DELL,2025-08-28 16:00:00,2.29,2.32,1.24
DELL,2025-05-29 16:00:00,1.69,1.55,-8.38
DELL,2025-02-27 16:00:00,2.52,2.68,6.42
DELL,2024-11-26 16:00:00,2.06,2.15,4.25
DELL,2024-08-29 16:00:00,1.71,1.89,10.22
DELL,2024-05-30 16:00:00,1.29,1.27,-1.92
DELL,2024-02-29 16:00:00,1.72,2.2,27.92
DELL,2023-11-30 16:00:00,1.46,1.88,29.19
DELL,2023-08-31 16:00:00,1.14,1.74,53.07
DELL,2023-06-01 15:00:00,0.85,1.31,53.67
DELL,2023-03-02 16:00:00,1.64,1.8,9.88
DELL,2022-11-21 16:00:00,1.61,2.3,43.09
DELL,2022-08-25 16:00:00,1.64,1.68,2.61
DELL,2022-05-26 16:00:00,1.4,1.84,31.17
DELL,2022-02-24 16:00:00,1.95,1.72,-11.95
DELL,2021-11-23 16:00:00,2.3,2.37,2.97
DELL,2021-08-26 16:00:00,2.04,2.24,9.76
DELL,2021-05-27 16:00:00,1.62,2.13,31.5
DELL,2021-02-25 16:00:00,2.14,2.7,26.1
DELL,2020-11-24 16:00:00,1.42,2.03,42.91
DELL,2020-08-27 16:00:00,1.4,1.92,37.49
DELL,2020-05-28 16:00:00,0.94,1.34,42.82
EBAY,2026-02-18 16:00:00,1.35,1.41,4.44
EBAY,2025-10-29 16:00:00,1.33,1.36,1.9
EBAY,2025-07-30 16:00:00,1.3,1.37,5.63
EBAY,2025-04-30 16:00:00,1.34,1.38,3.19
EBAY,2025-02-26 16:00:00,1.2,1.25,4.26
EBAY,2024-10-30 16:00:00,1.18,1.19,0.84
EBAY,2024-07-31 16:00:00,1.12,1.18,4.94
EBAY,2024-05-01 16:00:00,1.2,1.25,3.98
EBAY,2024-02-27 16:00:00,1.03,1.07,3.94
EBAY,2023-11-07 16:00:00,1.0,1.03,3.11
EBAY,2023-07-26 16:00:00,0.99,1.03,3.58
EBAY,2023-04-26 16:00:00,1.07,1.11,3.56
EBAY,2023-02-22 16:00:00,1.06,1.07,0.64
EBAY,2022-11-02 16:00:00,0.93,1.0,7.8
EBAY,2022-08-03 16:00:00,0.89,0.99,10.93
EBAY,2022-05-04 16:00:00,1.03,1.05,1.45
EBAY,2022-02-23 16:00:00,0.99,1.05,5.69
EBAY,2021-10-27 16:00:00,0.88,0.9,1.82
EBAY,2021-08-11 16:00:00,0.96,0.99,2.63
EBAY,2021-04-28 16:00:00,1.07,1.09,2.13
EBAY,2021-02-03 16:00:00,0.83,0.86,3.38
EBAY,2020-10-28 16:00:00,0.82,0.85,4.25
EBAY,2020-07-28 16:00:00,1.06,1.08,2.24
EBAY,2020-04-29 17:00:00,0.72,0.77,7.16
GOOGL,2026-02-04 16:00:00,2.64,2.82,7.01
GOOGL,2025-10-29 16:00:00,2.26,2.87,26.88
GOOGL,2025-07-23 16:00:00,2.2,2.31,5.09
GOOGL,2025-04-24 16:00:00,2.01,2.81,39.84
GOOGL,2025-02-04 16:00:00,2.13,2.15,1.18
GOOGL,2024-10-29 16:00:00,1.85,2.12,14.83
GOOGL,2024-07-23 16:00:00,1.85,1.89,2.4
GOOGL,2024-04-25 16:00:00,1.51,1.89,24.98
GOOGL,2024-01-30 16:00:00,1.6,1.64,2.75
GOOGL,2023-10-24 16:00:00,1.45,1.55,6.74
GOOGL,2023-07-25 16:00:00,1.34,1.44,7.29
GOOGL,2023-04-25 16:00:00,1.07,1.17,9.52
GOOGL,2023-02-02 16:00:00,1.2,1.05,-12.33
GOOGL,2022-10-25 16:00:00,1.26,1.06,-16.01
GOOGL,2022-07-26 16:00:00,1.29,1.21,-6.05
GOOGL,2022-04-26 16:00:00,1.28,1.23,-3.67
GOOGL,2022-02-01 16:00:00,1.36,1.53,12.65
GOOGL,2021-10-26 16:00:00,1.16,1.4,20.44
GOOGL,2021-07-27 16:00:00,0.96,1.36,42.7
GOOGL,2021-04-27 16:00:00,0.78,1.31,67.88
GOOGL,2021-02-02 16:00:00,0.79,1.12,41.85
GOOGL,2020-10-29 16:00:00,0.56,0.82,46.24
GOOGL,2020-07-30 16:00:00,0.41,0.51,24.14
GOOGL,2020-04-28 16:00:00,0.54,0.49,-8.29
IBM,2026-01-28 16:00:00,4.29,4.52,5.3
IBM,2025-10-22 16:00:00,2.45,2.65,8.31
IBM,2025-07-23 16:00:00,2.65,2.8,5.47
IBM,2025-04-23 16:00:00,1.43,1.6,12.12
IBM,2025-01-29 16:00:00,3.78,3.92,3.81
IBM,2024-10-23 16:00:00,2.23,2.3,3.33
IBM,2024-07-24 16:00:00,2.17,2.43,11.92
IBM,2024-04-24 16:00:00,1.6,1.68,5.2
IBM,2024-01-24 16:00:00,3.8,3.87,1.86
IBM,2023-10-25 16:00:00,2.13,2.2,3.5
IBM,2023-07-19 16:00:00,2.0,2.18,8.93
IBM,2023-04-19 16:00:00,1.24,1.36,9.73
IBM,2023-01-25 16:00:00,3.61,3.6,-0.32
IBM,2022-10-19 16:00:00,1.8,1.81,0.7
IBM,2022-07-18 16:00:00,2.29,2.31,0.9
IBM,2022-04-19 16:00:00,1.42,1.4,-1.46
IBM,2022-01-24 16:00:00,3.29,3.35,1.91
IBM,2021-10-20 16:00:00,2.51,2.52,0.21
IBM,2021-07-19 16:00:00,2.29,2.33,1.82
IBM,2021-04-19 16:00:00,1.65,1.77,7.12
IBM,2021-01-21 16:00:00,1.88,2.07,10.38
IBM,2020-10-19 16:00:00,2.58,2.58,0.04
IBM,2020-07-20 16:00:00,2.09,2.18,4.55
IBM,2020-04-20 17:00:00,1.8,1.84,2.16
INTC,2026-01-22 16:00:00,-0.09,-0.12,-27.61
INTC,2025-10-23 16:00:00,0.01,0.23,3121.29
INTC,2025-07-24 16:00:00,0.01,-0.1,-1280.64
INTC,2025-04-24 16:00:00,,0.13,2769.76
INTC,2025-01-30 16:00:00,0.12,0.13,8.71
INTC,2024-10-31 16:00:00,-0.25,-3.88,-1422.64
INTC,2024-08-01 12:00:00,0.1,0.02,-80.18
INTC,2024-04-25 16:00:00,0.14,0.18,31.74
INTC,2024-01-25 16:00:00,0.45,0.54,20.29
INTC,2023-10-26 16:00:00,0.22,0.41,87.04
INTC,2023-07-27 16:00:00,-0.03,0.13,546.43
INTC,2023-04-27 16:00:00,-0.14,-0.04,72.19
INTC,2023-01-26 16:00:00,0.2,0.1,-50.48
INTC,2022-10-27 16:00:00,0.33,0.59,80.04
INTC,2022-07-28 16:00:00,0.7,0.29,-58.29
INTC,2022-04-28 16:00:00,0.8,0.87,9.16
INTC,2022-01-26 16:00:00,0.91,1.09,19.78
INTC,2021-10-21 16:00:00,1.11,1.71,53.61
INTC,2021-07-22 16:00:00,1.07,1.28,19.28
INTC,2021-04-22 16:00:00,1.14,1.39,21.71
INTC,2021-01-21 16:00:00,1.11,1.52,36.91
INTC,2020-10-22 16:00:00,1.11,1.11,0.23
INTC,2020-07-23 16:00:00,1.11,1.23,10.61
INTC,2020-04-23 16:00:00,1.26,1.45,14.95
LRCX,2026-01-28 16:00:00,1.17,1.27,8.7
LRCX,2025-10-22 16:00:00,1.22,1.26,3.27
LRCX,2025-07-30 16:00:00,1.21,1.33,10.36
LRCX,2025-04-23 16:00:00,1.0,1.04,4.06
LRCX,2025-01-29 16:00:00,0.87,0.92,5.63
LRCX,2024-10-23 16:00:00,0.81,0.86,6.51
LRCX,2024-07-31 16:00:00,0.76,0.81,7.29
LRCX,2024-04-24 16:00:00,0.73,0.78,6.78
LRCX,2024-01-24 16:00:00,0.71,0.75,5.69
LRCX,2023-10-18 16:00:00,0.61,0.69,11.83
LRCX,2023-07-26 16:00:00,0.51,0.6,16.53
LRCX,2023-04-19 16:00:00,0.65,0.7,7.12
LRCX,2023-01-25 16:00:00,0.99,1.08,8.27
LRCX,2022-10-19 16:00:00,0.95,1.04,9.19
LRCX,2022-07-27 16:00:00,0.73,0.88,20.45
LRCX,2022-04-20 16:00:00,0.75,0.74,-1.41
LRCX,2022-01-26 16:00:00,0.85,0.85,0.19
LRCX,2021-10-20 16:00:00,0.82,0.84,1.92
LRCX,2021-07-28 16:00:00,0.76,0.81,6.27
LRCX,2021-04-21 16:00:00,0.66,0.75,13.37
LRCX,2021-01-27 16:00:00,0.57,0.6,5.5
LRCX,2020-10-21 16:00:00,0.52,0.57,9.15
LRCX,2020-07-29 16:00:00,0.41,0.48,18.02
LRCX,2020-04-22 17:00:00,0.37,0.39,6.15
META,2026-01-28 16:00:00,8.22,8.88,8.0
META,2025-10-29 16:00:00,6.67,7.25,8.66
META,2025-07-30 16:00:00,5.86,7.14,21.82
META,2025-04-30 16:00:00,5.21,6.43,23.53
META,2025-01-29 16:00:00,6.76,8.02,18.67
META,2024-10-30 16:00:00,5.3,6.03,13.86
META,2024-07-31 16:00:00,4.76,5.16,8.45
META,2024-04-24 16:00:00,4.36,4.71,8.11
META,2024-02-01 16:00:00,4.94,5.33,7.88
META,2023-10-25 16:00:00,3.6,4.39,21.96
META,2023-07-26 16:00:00,2.87,2.98,3.77
META,2023-04-26 16:00:00,1.95,2.2,12.62
META,2023-02-01 16:00:00,2.23,1.76,-21.14
META,2022-10-26 16:00:00,1.85,1.64,-11.32
META,2022-07-27 16:00:00,2.55,2.46,-3.56
META,2022-04-27 16:00:00,2.55,2.72,6.82
META,2022-02-02 16:00:00,3.83,3.67,-4.1
META,2021-10-25 16:00:00,3.18,3.22,1.32
META,2021-07-28 16:00:00,3.06,3.61,17.94
META,2021-04-28 16:00:00,2.35,3.3,40.65
META,2021-01-27 16:00:00,3.2,3.88,21.43
META,2020-10-29 16:00:00,1.91,2.71,41.95
META,2020-07-30 16:00:00,1.37,1.8,31.2
META,2020-04-29 17:00:00,1.7,1.71,0.38
MSFT,2026-01-28 16:00:00,3.92,4.14,5.69
MSFT,2025-10-29 16:00:00,3.66,4.13,12.73
MSFT,2025-07-30 16:00:00,3.38,3.65,8.09
MSFT,2025-04-30 16:00:00,3.22,3.46,7.4
MSFT,2025-01-29 16:00:00,3.12,3.23,3.47
MSFT,2024-10-30 16:00:00,3.11,3.3,6.25
MSFT,2024-07-30 16:00:00,2.94,2.95,0.23
MSFT,2024-04-25 16:00:00,2.83,2.94,3.99
MSFT,2024-01-30 16:00:00,2.77,2.93,5.95
MSFT,2023-10-24 16:00:00,2.65,2.99,12.85
MSFT,2023-07-25 16:00:00,2.55,2.69,5.45
MSFT,2023-04-25 16:00:00,2.23,2.45,9.77
MSFT,2023-01-24 16:00:00,2.32,2.32,0.21
MSFT,2022-10-25 16:00:00,2.31,2.35,1.92
MSFT,2022-07-26 16:00:00,2.29,2.23,-2.69
MSFT,2022-04-26 16:00:00,2.19,2.22,1.24
MSFT,2022-01-25 16:00:00,2.32,2.48,6.97
MSFT,2021-10-26 16:00:00,2.07,2.71,30.77
MSFT,2021-07-27 16:00:00,1.93,2.17,12.71
MSFT,2021-04-27 16:00:00,1.78,1.95,9.67
