group,car_window,N,mean,median,std,min,max,section,test_type,test_method,N_total,N_valid,L1,CAR_center,CAR_std,z_statistic,degrees_of_freedom,p_value,significant_5pct,significant_1pct,t_statistic,mean_diff,test_statistic
5a: P - Purchase (traditional),CAR_0_10,,,,,,,grank_test,mean,G-Rank Z test,12.0,12.0,200.0,-0.01128004403379819,0.056655975241005394,-0.029851115706299367,N/A,0.9761857924712121,No,No,,,
5a: P - Purchase (traditional),CAR_0_10,,,,,,,grank_test,median,G-Rank Z test,12.0,12.0,200.0,0.0026070529358835,0.056655975241005394,-0.3631885744266459,N/A,0.716464022047866,No,No,,,
5a: P - Purchase (traditional),CAR_0_20,,,,,,,grank_test,mean,G-Rank Z test,12.0,12.0,200.0,-0.014508697123341225,0.050430335107883056,-0.9950371902099894,N/A,0.3197181768128703,No,No,,,
5a: P - Purchase (traditional),CAR_0_20,,,,,,,grank_test,median,G-Rank Z test,12.0,12.0,200.0,-0.02493315156753395,0.050430335107883056,0.5572208265175942,N/A,0.5773765619804971,No,No,,,
5a: P - Purchase (traditional),CAR_pre20_20,,,,,,,grank_test,mean,G-Rank Z test,12.0,12.0,200.0,-0.033375087113501845,0.09473583874618603,-2.1343547730004264,N/A,0.032813750804477015,Yes,No,,,
5a: P - Purchase (traditional),CAR_pre20_20,,,,,,,grank_test,median,G-Rank Z test,12.0,12.0,200.0,-0.07486755659892544,0.09473583874618603,1.2487716737135361,N/A,0.21174859721553752,No,No,,,
5b: S - Sale (traditional),CAR_pre20_pre1,,,,,,,grank_test,mean,G-Rank t-test,315.0,315.0,200.0,0.014598745171431827,0.11268541744677595,,199,0.03765021101070554,Yes,No,2.0926279514760604,,
5b: S - Sale (traditional),CAR_pre20_pre1,,,,,,,grank_test,median,G-Rank t-test,315.0,315.0,200.0,0.0106572098989026,0.11268541744677595,,199,0.951323811288125,No,No,-0.061121470809722925,,
5b: S - Sale (traditional),CAR_0_1,,,,,,,grank_test,mean,G-Rank t-test,314.0,314.0,200.0,-7.723307878787588e-05,0.03352039930116731,,199,0.9094988485677067,No,No,0.11381543201140731,,
5b: S - Sale (traditional),CAR_0_1,,,,,,,grank_test,median,G-Rank t-test,314.0,314.0,200.0,-0.0005659894598627,0.03352039930116731,,199,0.7025976038088073,No,No,0.3823664732688891,,
5b: S - Sale (traditional),CAR_0_5,,,,,,,grank_test,mean,G-Rank t-test,315.0,315.0,200.0,-0.002406142748300547,0.04864273986895737,,199,0.8238681842322082,No,No,-0.2228662606155652,,
5b: S - Sale (traditional),CAR_0_5,,,,,,,grank_test,median,G-Rank t-test,315.0,315.0,200.0,-0.0015988309522342,0.04864273986895737,,199,0.4864670670501634,No,No,0.6972388695434679,,
5b: S - Sale (traditional),CAR_0_10,,,,,,,grank_test,mean,G-Rank t-test,315.0,315.0,200.0,-0.004400012985156763,0.06515415687777482,,199,0.24143840902369984,No,No,-1.1749005825002812,,
5b: S - Sale (traditional),CAR_0_10,,,,,,,grank_test,median,G-Rank t-test,315.0,315.0,200.0,-0.0039775535032084,0.06515415687777482,,199,0.6337811600455971,No,No,0.47714682769504635,,
5b: S - Sale (traditional),CAR_0_20,,,,,,,grank_test,mean,G-Rank t-test,315.0,315.0,200.0,-0.006939757902446198,0.07512848985844181,,199,0.1564150908885864,No,No,-1.422609279771026,,
5b: S - Sale (traditional),CAR_0_20,,,,,,,grank_test,median,G-Rank t-test,315.0,315.0,200.0,-0.0020961828290984,0.07512848985844181,,199,0.40286025313595797,No,No,-0.8383138424836551,,
5b: S - Sale (traditional),CAR_pre20_20,,,,,,,grank_test,mean,G-Rank t-test,315.0,315.0,200.0,0.007658987268985634,0.12652302396000925,,199,0.4419484705720842,No,No,0.7704470188754442,,
5b: S - Sale (traditional),CAR_pre20_20,,,,,,,grank_test,median,G-Rank t-test,315.0,315.0,200.0,-0.0006183185149011,0.12652302396000925,,199,0.36591089033065094,No,No,0.9062284771527068,,
5b': S - Sale+OE (traditional),CAR_pre20_pre1,,,,,,,grank_test,mean,G-Rank t-test,165.0,165.0,200.0,0.024881788281329007,0.11924125628856856,,199,0.0047988581247671025,Yes,Yes,2.8522914446641385,,
5b': S - Sale+OE (traditional),CAR_pre20_pre1,,,,,,,grank_test,median,G-Rank t-test,165.0,165.0,200.0,0.0213028531299976,0.11924125628856856,,199,0.4393990690806653,No,No,-0.7747633975415373,,
5b': S - Sale+OE (traditional),CAR_0_1,,,,,,,grank_test,mean,G-Rank t-test,165.0,165.0,200.0,-0.002955970555060182,0.03230780270074757,,199,0.3524755704778437,No,No,-0.9319811804191028,,
5b': S - Sale+OE (traditional),CAR_0_1,,,,,,,grank_test,median,G-Rank t-test,165.0,165.0,200.0,-0.0016129963201712,0.03230780270074757,,199,0.7075129820881831,No,No,0.37573655224381475,,
5b': S - Sale+OE (traditional),CAR_0_5,,,,,,,grank_test,mean,G-Rank t-test,165.0,165.0,200.0,-0.004194563201674682,0.056055906720169725,,199,0.33892804848107305,No,No,-0.9585909125121411,,
5b': S - Sale+OE (traditional),CAR_0_5,,,,,,,grank_test,median,G-Rank t-test,165.0,165.0,200.0,-0.0004322188370573,0.056055906720169725,,199,0.4095323898746104,No,No,-0.8264610897573889,,
5b': S - Sale+OE (traditional),CAR_0_10,,,,,,,grank_test,mean,G-Rank t-test,165.0,165.0,200.0,-3.744725729287174e-05,0.06522356892871117,,199,0.7240103555718775,No,No,-0.3536035351097126,,
5b': S - Sale+OE (traditional),CAR_0_10,,,,,,,grank_test,median,G-Rank t-test,165.0,165.0,200.0,-0.0001513611586151,0.06522356892871117,,199,0.7405466372798888,No,No,-0.3315915647840565,,
5b': S - Sale+OE (traditional),CAR_0_20,,,,,,,grank_test,mean,G-Rank t-test,165.0,165.0,200.0,0.002857836389387083,0.07954435892894367,,199,0.9801120851159644,No,No,0.02495974263948796,,
5b': S - Sale+OE (traditional),CAR_0_20,,,,,,,grank_test,median,G-Rank t-test,165.0,165.0,200.0,0.0005314087099553,0.07954435892894367,,199,0.9322155424620027,No,No,-0.08516536911045315,,
5b': S - Sale+OE (traditional),CAR_pre20_20,,,,,,,grank_test,mean,G-Rank t-test,165.0,165.0,200.0,0.0277396246707161,0.14429576059138816,,199,0.010754655640830224,Yes,No,2.5748355734179036,,
5b': S - Sale+OE (traditional),CAR_pre20_20,,,,,,,grank_test,median,G-Rank t-test,165.0,165.0,200.0,0.0052840763077284,0.14429576059138816,,199,0.1487963978656719,No,No,1.4494128051147441,,
5c: P - Purchase (llm),CAR_pre20_pre1,,,,,,,grank_test,mean,G-Rank Z test,12.0,12.0,200.0,-0.007577552393498637,0.07324322235652887,-0.6666749174406927,N/A,0.5049798037217303,No,No,,,
5c: P - Purchase (llm),CAR_pre20_pre1,,,,,,,grank_test,median,G-Rank Z test,12.0,12.0,200.0,-0.02184149999999995,0.07324322235652887,0.6517493595875429,N/A,0.5145628748027413,No,No,,,
5c: P - Purchase (llm),CAR_0_1,,,,,,,grank_test,mean,G-Rank Z test,12.0,12.0,200.0,0.007830519528515417,0.028308203135635066,0.04477667355944944,N/A,0.964285318242871,No,No,,,
5c: P - Purchase (llm),CAR_0_1,,,,,,,grank_test,median,G-Rank Z test,12.0,12.0,200.0,-0.00146545414958815,0.028308203135635066,0.45274192154554505,N/A,0.6507345889775817,No,No,,,
5c: P - Purchase (llm),CAR_0_5,,,,,,,grank_test,mean,G-Rank Z test,12.0,12.0,200.0,0.005562686195182058,0.03398310092732235,0.6816004752938424,N/A,0.4954916143378507,No,No,,,
5c: P - Purchase (llm),CAR_0_5,,,,,,,grank_test,median,G-Rank Z test,12.0,12.0,200.0,0.0047344999999999965,0.03398310092732235,0.01492555785314985,N/A,0.9880915699739226,No,No,,,
5c: P - Purchase (llm),CAR_0_10,,,,,,,grank_test,mean,G-Rank Z test,12.0,12.0,200.0,0.004524743214478048,0.043604887175737655,0.6368238017343928,N/A,0.5242396204851105,No,No,,,
5c: P - Purchase (llm),CAR_0_10,,,,,,,grank_test,median,G-Rank Z test,12.0,12.0,200.0,-0.0015764999999999503,0.043604887175737655,0.7413027067064418,N/A,0.4585099209216139,No,No,,,
5c: P - Purchase (llm),CAR_0_20,,,,,,,grank_test,mean,G-Rank Z test,12.0,12.0,200.0,0.013920661711143261,0.049110876153800026,0.7214019629022421,N/A,0.47066223926011674,No,No,,,
5c: P - Purchase (llm),CAR_0_20,,,,,,,grank_test,median,G-Rank Z test,12.0,12.0,200.0,0.00326310490697765,0.049110876153800026,0.343287830622446,N/A,0.7313819349501116,No,No,,,
5c: P - Purchase (llm),CAR_pre20_20,,,,,,,grank_test,mean,G-Rank Z test,12.0,12.0,200.0,0.006343109317644644,0.089330437247173,-0.3781141322797958,N/A,0.7053458102848285,No,No,,,
5c: P - Purchase (llm),CAR_pre20_20,,,,,,,grank_test,median,G-Rank Z test,12.0,12.0,200.0,-0.00666922631357315,0.089330437247173,-0.15423076448254824,N/A,0.8774277858434529,No,No,,,
5d: S - Sale (llm),CAR_pre20_pre1,,,,,,,grank_test,mean,G-Rank t-test,315.0,315.0,200.0,0.032690514718722655,0.1560312072690172,,199,0.0015485175320051336,Yes,Yes,3.2098162478405046,,
5d: S - Sale (llm),CAR_pre20_pre1,,,,,,,grank_test,median,G-Rank t-test,315.0,315.0,200.0,0.014524,0.1560312072690172,,199,0.7564793563767647,No,No,0.3105347257018216,,
5d: S - Sale (llm),CAR_0_1,,,,,,,grank_test,mean,G-Rank t-test,314.0,314.0,200.0,-0.0005606480272981954,0.040274747303593,,199,0.5475781268002198,No,No,0.6024234626504952,,
5d: S - Sale (llm),CAR_0_1,,,,,,,grank_test,median,G-Rank t-test,314.0,314.0,200.0,-0.0006850000000000001,0.040274747303593,,199,0.3211390889204133,No,No,0.994599161773413,,
5d: S - Sale (llm),CAR_0_5,,,,,,,grank_test,mean,G-Rank t-test,315.0,315.0,200.0,-0.00253104762607272,0.057888169700495685,,199,0.8371084625562912,No,No,0.20586288962888927,,
5d: S - Sale (llm),CAR_0_5,,,,,,,grank_test,median,G-Rank t-test,315.0,315.0,200.0,-0.0004250455237253,0.057888169700495685,,199,0.69719707811728,No,No,0.38967029178149887,,
5d: S - Sale (llm),CAR_0_10,,,,,,,grank_test,mean,G-Rank t-test,315.0,315.0,200.0,-0.0018377683586778156,0.07887275604517299,,199,0.5988458250873907,No,No,-0.526905851716063,,
5d: S - Sale (llm),CAR_0_10,,,,,,,grank_test,median,G-Rank t-test,315.0,315.0,200.0,-0.0009682932320894,0.07887275604517299,,199,0.8492416810366372,No,No,-0.19033368431000394,,
5d: S - Sale (llm),CAR_0_20,,,,,,,grank_test,mean,G-Rank t-test,315.0,315.0,200.0,-5.62036059718295e-05,0.08936257662124374,,199,0.6430165030303474,No,No,-0.4641935258636849,,
5d: S - Sale (llm),CAR_0_20,,,,,,,grank_test,median,G-Rank t-test,315.0,315.0,200.0,-0.0017051749379837,0.08936257662124374,,199,0.9655870994171232,No,No,-0.043197890900982305,,
5d: S - Sale (llm),CAR_pre20_20,,,,,,,grank_test,mean,G-Rank t-test,315.0,315.0,200.0,0.03263431111275083,0.18190814899535038,,199,0.02172110879232103,Yes,No,2.313420276603598,,
5d: S - Sale (llm),CAR_pre20_20,,,,,,,grank_test,median,G-Rank t-test,315.0,315.0,200.0,0.003121458459406,0.18190814899535038,,199,0.06405377310657245,No,No,1.8621664583090314,,
5d': S - Sale+OE (llm),CAR_pre20_pre1,,,,,,,grank_test,mean,G-Rank t-test,165.0,165.0,200.0,0.0561968329925747,0.18601372614846828,,199,4.628472953793761e-06,Yes,Yes,4.710601115474231,,
5d': S - Sale+OE (llm),CAR_pre20_pre1,,,,,,,grank_test,median,G-Rank t-test,165.0,165.0,200.0,0.035277,0.18601372614846828,,199,0.9109744747577291,No,No,0.11195178863885961,,
5d': S - Sale+OE (llm),CAR_0_1,,,,,,,grank_test,mean,G-Rank t-test,165.0,165.0,200.0,-0.0013788291844474888,0.04352320058856994,,199,0.9436576847722806,No,No,0.07076269465161082,,
5d': S - Sale+OE (llm),CAR_0_1,,,,,,,grank_test,median,G-Rank t-test,165.0,165.0,200.0,-0.001461,0.04352320058856994,,199,0.2899736097594925,No,No,1.0610050170198935,,
5d': S - Sale+OE (llm),CAR_0_5,,,,,,,grank_test,mean,G-Rank t-test,165.0,165.0,200.0,-0.002176643097205778,0.06929367391883089,,199,0.8644296872663624,No,No,-0.17095902330997265,,
5d': S - Sale+OE (llm),CAR_0_5,,,,,,,grank_test,median,G-Rank t-test,165.0,165.0,200.0,-0.0008429999999999,0.06929367391883089,,199,0.9366541362686183,No,No,0.07957639351133516,,
5d': S - Sale+OE (llm),CAR_0_10,,,,,,,grank_test,mean,G-Rank t-test,165.0,165.0,200.0,0.00620907987959866,0.08630792764605594,,199,0.5563026524658081,No,No,0.5893385410171681,,
5d': S - Sale+OE (llm),CAR_0_10,,,,,,,grank_test,median,G-Rank t-test,165.0,165.0,200.0,-0.000868,0.08630792764605594,,199,0.3559638101509117,No,No,0.9252359711975885,,
5d': S - Sale+OE (llm),CAR_0_20,,,,,,,grank_test,mean,G-Rank t-test,165.0,165.0,200.0,0.017937610642629827,0.09895149081012826,,199,0.15428410774298817,No,No,1.4300036965817067,,
5d': S - Sale+OE (llm),CAR_0_20,,,,,,,grank_test,median,G-Rank t-test,165.0,165.0,200.0,0.0002509999999999,0.09895149081012826,,199,0.15940349151836264,No,No,1.4123682325850835,,
5d': S - Sale+OE (llm),CAR_pre20_20,,,,,,,grank_test,mean,G-Rank t-test,165.0,165.0,200.0,0.07413444363520454,0.22204332875395744,,199,8.01763587965354e-07,Yes,Yes,5.0965719425476985,,
5d': S - Sale+OE (llm),CAR_pre20_20,,,,,,,grank_test,median,G-Rank t-test,165.0,165.0,200.0,0.0409529999999999,0.22204332875395744,,199,0.38105869417474625,No,No,0.8778962653737602,,
P - Purchase (trad vs LLM),CAR_pre20_pre1,12.0,,,,,,comparison_test,paired_t_test,,,,,,,,,0.6108933071639063,No,No,,-0.011288837596661957,-0.5236738128415627
P - Purchase (trad vs LLM),CAR_pre20_pre1,12.0,,,,,,comparison_test,wilcoxon_signed_rank,,,,,,,,,0.5693359375,No,No,,-0.011288837596661957,31.0
P - Purchase (trad vs LLM),CAR_0_1,12.0,,,,,,comparison_test,paired_t_test,,,,,,,,,0.42339147801221194,No,No,,-0.004842363759328709,-0.8314674902838791
P - Purchase (trad vs LLM),CAR_0_1,12.0,,,,,,comparison_test,wilcoxon_signed_rank,,,,,,,,,0.67724609375,No,No,,-0.004842363759328709,33.0
P - Purchase (trad vs LLM),CAR_0_5,12.0,,,,,,comparison_test,paired_t_test,,,,,,,,,0.07933540301934562,No,No,,-0.014601576423040797,-1.933336304121282
P - Purchase (trad vs LLM),CAR_0_5,12.0,,,,,,comparison_test,wilcoxon_signed_rank,,,,,,,,,0.12939453125,No,No,,-0.014601576423040797,19.0
P - Purchase (trad vs LLM),CAR_0_10,12.0,,,,,,comparison_test,paired_t_test,,,,,,,,,0.13443484568493652,No,No,,-0.015804787248276244,-1.6157813913261065
P - Purchase (trad vs LLM),CAR_0_10,12.0,,,,,,comparison_test,wilcoxon_signed_rank,,,,,,,,,0.12939453125,No,No,,-0.015804787248276244,19.0
P - Purchase (trad vs LLM),CAR_0_20,12.0,,,,,,comparison_test,paired_t_test,,,,,,,,,0.13725274600291543,No,No,,-0.028429358834484483,-1.6029342966629911
P - Purchase (trad vs LLM),CAR_0_20,12.0,,,,,,comparison_test,wilcoxon_signed_rank,,,,,,,,,0.20361328125,No,No,,-0.028429358834484483,22.0
P - Purchase (trad vs LLM),CAR_pre20_20,12.0,,,,,,comparison_test,paired_t_test,,,,,,,,,0.2982786582621567,No,No,,-0.03971819643114649,-1.0917487041079978
P - Purchase (trad vs LLM),CAR_pre20_20,12.0,,,,,,comparison_test,wilcoxon_signed_rank,,,,,,,,,0.33935546875,No,No,,-0.03971819643114649,26.0
S - Sale (trad vs LLM),CAR_pre20_pre1,315.0,,,,,,comparison_test,paired_t_test,,,,,,,,,8.471519236131614e-05,Yes,Yes,,-0.018091769547290828,-3.982739001938411
S - Sale (trad vs LLM),CAR_pre20_pre1,315.0,,,,,,comparison_test,wilcoxon_signed_rank,,,,,,,,,0.0005608332079671667,Yes,Yes,,-0.018091769547290828,19304.0
S - Sale (trad vs LLM),CAR_0_1,314.0,,,,,,comparison_test,paired_t_test,,,,,,,,,0.6441734812489711,No,No,,0.00048341494851031927,0.46231941830147133
S - Sale (trad vs LLM),CAR_0_1,314.0,,,,,,comparison_test,wilcoxon_signed_rank,,,,,,,,,0.15056701733055405,No,No,,0.00048341494851031927,22413.0
S - Sale (trad vs LLM),CAR_0_5,315.0,,,,,,comparison_test,paired_t_test,,,,,,,,,0.9347467722434669,No,No,,0.0001249048777721719,0.08193982342622365
S - Sale (trad vs LLM),CAR_0_5,315.0,,,,,,comparison_test,wilcoxon_signed_rank,,,,,,,,,0.2904968741045052,No,No,,0.0001249048777721719,23175.0
S - Sale (trad vs LLM),CAR_0_10,315.0,,,,,,comparison_test,paired_t_test,,,,,,,,,0.23084444869694812,No,No,,-0.0025622446264789486,-1.2005145615596275
S - Sale (trad vs LLM),CAR_0_10,315.0,,,,,,comparison_test,wilcoxon_signed_rank,,,,,,,,,0.0389011651740078,Yes,No,,-0.0025622446264789486,21544.0
S - Sale (trad vs LLM),CAR_0_20,315.0,,,,,,comparison_test,paired_t_test,,,,,,,,,0.01236720169884446,Yes,No,,-0.00688355429647437,-2.51602326169134
S - Sale (trad vs LLM),CAR_0_20,315.0,,,,,,comparison_test,wilcoxon_signed_rank,,,,,,,,,0.01910902722393784,Yes,No,,-0.00688355429647437,21094.0
S - Sale (trad vs LLM),CAR_pre20_20,315.0,,,,,,comparison_test,paired_t_test,,,,,,,,,8.593281990096097e-05,Yes,Yes,,-0.024975323843765197,-3.979175035886534
S - Sale (trad vs LLM),CAR_pre20_20,315.0,,,,,,comparison_test,wilcoxon_signed_rank,,,,,,,,,0.0004976373888268735,Yes,Yes,,-0.024975323843765197,19252.0
S - Sale+OE (trad vs LLM),CAR_pre20_pre1,165.0,,,,,,comparison_test,paired_t_test,,,,,,,,,0.00021249699496641333,Yes,Yes,,-0.03131504471124569,-3.7884621074637566
S - Sale+OE (trad vs LLM),CAR_pre20_pre1,165.0,,,,,,comparison_test,wilcoxon_signed_rank,,,,,,,,,0.00015555358116294744,Yes,Yes,,-0.03131504471124569,4523.0
S - Sale+OE (trad vs LLM),CAR_0_1,165.0,,,,,,comparison_test,paired_t_test,,,,,,,,,0.3430462384923147,No,No,,-0.0015771413706126937,-0.9509161322503954
S - Sale+OE (trad vs LLM),CAR_0_1,165.0,,,,,,comparison_test,wilcoxon_signed_rank,,,,,,,,,0.08183991996236507,No,No,,-0.0015771413706126937,5778.0
S - Sale+OE (trad vs LLM),CAR_0_5,165.0,,,,,,comparison_test,paired_t_test,,,,,,,,,0.40209855271648526,No,No,,-0.002017920104468904,-0.8400585610198924
S - Sale+OE (trad vs LLM),CAR_0_5,165.0,,,,,,comparison_test,wilcoxon_signed_rank,,,,,,,,,0.10883793440479445,No,No,,-0.002017920104468904,5862.0
S - Sale+OE (trad vs LLM),CAR_0_10,165.0,,,,,,comparison_test,paired_t_test,,,,,,,,,0.052992299883488546,No,No,,-0.006246527136891532,-1.9490775939512248
S - Sale+OE (trad vs LLM),CAR_0_10,165.0,,,,,,comparison_test,wilcoxon_signed_rank,,,,,,,,,0.025649887705681936,Yes,No,,-0.006246527136891532,5476.0
S - Sale+OE (trad vs LLM),CAR_0_20,165.0,,,,,,comparison_test,paired_t_test,,,,,,,,,0.0004535053278497792,Yes,Yes,,-0.015079774253242747,-3.5792173000955065
